db_id,ncbi_id,name,nspecies,ngenomes
1,2050,Mobiluncus,2,7
2,2053,Gordonia,6,14
3,65551,Meiothermus,1,4
4,2063,Kitasatospora,2,6
5,22,Shewanella,4,18
6,2077,Sporolactobacillus,2,4
7,231454,Dyella,1,2
8,32,Myxococcus,1,3
9,40,Stigmatella,1,2
10,2093,Mycoplasma,23,169
11,235572,Candidatus Portiera,1,5
12,335927,Thalassobius,1,2
13,946234,Flavonifractor,1,2
14,68,Lysobacter,3,7
15,559173,Fructobacillus,1,3
16,75,Caulobacter,2,4
17,1470540,Jeotgalibaca,1,2
18,2129,Ureaplasma,2,20
19,2132,Spiroplasma,2,4
20,53335,Pantoea,5,50
21,106589,Cupriavidus,3,12
22,245876,Nitratireductor,1,2
23,2529408,Schaalia,2,4
24,90243,Oligella,1,2
25,138,Borrelia,6,18
26,98443,Richelia,1,2
27,84111,Eggerthella,1,2
28,1742992,Paenarthrobacter,1,2
29,146,Spirochaeta,1,2
30,1960084,Rodentibacter,1,2
31,57493,Kocuria,2,10
32,202907,Collimonas,2,4
33,57499,Kytococcus,1,2
34,157,Treponema,6,43
35,270497,Catabacter,1,2
36,202746,Sulfurimonas,1,2
37,51366,Salinivibrio,1,2
38,171,Leptospira,11,402
39,179,Leptospirillum,1,3
40,1048757,Candidatus Moranella,1,2
41,1849530,Oblitimonas,1,7
42,1335483,Shimwellia,1,2
43,191,Azospirillum,2,5
44,1618113,Saccharicrinis,1,2
45,194,Campylobacter,10,934
46,121038,Ferrimicrobium,1,2
47,75984,Mannheimia,2,33
48,209,Helicobacter,11,521
49,28884,Hydrogenovibrio,1,2
50,222,Achromobacter,2,21
51,28895,Thermoanaerobacterium,1,2
52,226,Alteromonas,4,22
53,234,Brucella,9,313
54,237,Flavobacterium,6,33
55,1906945,Parageobacillus,3,10
56,119044,Filomicrobium,1,2
57,262,Francisella,3,109
58,265,Paracoccus,2,6
59,270,Thermus,5,14
60,283,Comamonas,2,20
61,286,Pseudomonas,34,1904
62,33055,Candidatus Kinetoplastibacterium,2,4
63,2335,Thermotoga,2,8
64,33057,Thauera,1,2
65,125216,Roseomonas,1,2
66,1792291,Marinagarivorans,1,2
67,2582840,Desulfocurvibacter,1,3
68,129337,Geobacillus,4,17
69,41275,Brevundimonas,1,2
70,47420,Hydrogenophaga,1,2
71,1745211,Chania,1,2
72,239934,Akkermansia,1,2
73,57665,Sulfurospirillum,1,2
74,2370,Xylella,1,28
75,2742598,Limosilactobacillus,10,59
76,2375,Sporomusa,1,2
77,338,Xanthomonas,13,347
78,59732,Chryseobacterium,1,2
79,59735,Bergeyella,1,2
80,909656,Phocaeicola,5,22
81,59738,Marinilabilia,1,2
82,43356,Kutzneria,1,2
83,352,Azotobacter,1,4
84,357,Agrobacterium,1,15
85,2420,Thermosipho,1,2
86,1505652,Terrisporobacter,1,2
87,374,Bradyrhizobium,6,34
88,653686,Wenxinia,1,2
89,2425,Teredinibacter,1,9
90,379,Rhizobium,4,37
91,1827195,Caballeronia,1,2
92,203133,Propionimicrobium,1,2
93,1505663,Erysipelatoclostridium,1,2
94,1276290,Caldibacillus,1,2
95,201096,Alicycliphilus,1,2
96,207244,Anaerostipes,1,2
97,407,Methylobacterium,3,10
98,135575,Idiomarina,1,2
99,1434011,Komagataeibacter,3,9
100,413,Methylococcus,1,3
