accession,species_v11_idx1,species_v12_idx1
GCF_000003135.1,220,1241
GCF_000003645.1,127,1055
GCF_000003925.1,144,1060
GCF_000003955.1,127,1055
GCF_000005845.2,489,424
GCF_000006605.1,385,1277
GCF_000006625.1,1354,56
GCF_000006645.1,1431,463
GCF_000006665.1,489,424
GCF_000006685.1,334,620
GCF_000006725.1,1421,228
GCF_000006745.1,1368,503
GCF_000006765.1,1044,178
GCF_000006785.2,1253,983
GCF_000006825.1,946,563
GCF_000006845.1,867,357
GCF_000006865.1,710,1036
GCF_000006885.1,1250,982
GCF_000006905.1,329,52
GCF_000006925.2,1174,452
GCF_000006945.1,1153,439
GCF_000006965.1,1181,1123
GCF_000007025.1,1112,594
GCF_000007045.1,1250,982
GCF_000007085.1,307,1286
GCF_000007105.1,1438,398
GCF_000007125.1,279,150
GCF_000007145.1,1408,241
GCF_000007165.1,1409,243
GCF_000007205.1,336,619
GCF_000007245.1,1421,228
GCF_000007265.1,1229,980
GCF_000007285.1,1253,983
GCF_000007325.1,518,695
GCF_000007385.1,1413,244
GCF_000007405.1,1174,452
GCF_000007425.1,1253,983
GCF_000007445.1,489,424
GCF_000007465.2,1244,981
GCF_000007485.1,1351,1431
GCF_000007505.1,283,152
GCF_000007525.1,220,1241
GCF_000007545.1,1153,439
GCF_000007565.2,1069,182
GCF_000007585.1,983,651
GCF_000007625.1,365,1132
GCF_000007645.1,1210,924
GCF_000007685.1,733,97
GCF_000007705.1,343,393
GCF_000007765.1,397,592
GCF_000007785.1,462,1016
GCF_000007805.1,1072,184
GCF_000007825.1,127,1055
GCF_000007845.1,121,1054
GCF_000007865.1,808,1298
GCF_000007885.1,1431,463
GCF_000007925.1,1020,876
GCF_000007985.2,531,1186
GCF_000008005.1,127,1055
GCF_000008025.1,1403,725
GCF_000008045.1,1122,597
GCF_000008065.1,657,1161
GCF_000008105.1,1153,439
GCF_000008125.1,1342,171
GCF_000008145.1,276,146
GCF_000008165.1,121,1054
GCF_000008185.1,1345,87
GCF_000008205.1,848,28
GCF_000008225.1,848,28
GCF_000008245.1,859,33
GCF_000008285.1,758,1201
GCF_000008305.1,780,861
GCF_000008325.1,789,291
GCF_000008345.1,1025,1103
GCF_000008405.1,848,28
GCF_000008425.1,139,1058
GCF_000008445.1,121,1054
GCF_000008465.1,576,287
GCF_000008485.1,725,312
GCF_000008525.1,564,127
GCF_000008545.1,1336,213
GCF_000008565.1,412,969
GCF_000008585.1,834,1302
GCF_000008605.1,1346,88
GCF_000008685.2,256,1089
GCF_000008725.1,338,616
GCF_000008745.1,336,619
GCF_000008765.1,351,1126
GCF_000008785.1,564,127
GCF_000008805.1,869,359
