species_v11_idx1,species_v12_idx1,ngenomes
1,298,3
2,302,3
3,300,2
4,299,12
5,297,2
6,301,4
7,140,3
8,139,18
9,712,2
10,389,2
11,862,2
12,865,2
13,863,4
14,864,3
15,458,2
16,459,4
17,457,2
18,329,1277
19,344,4
20,331,3
21,326,5
22,345,3
23,337,3
24,330,10
25,346,3
26,327,4
27,340,4
28,343,8
29,338,4
30,351,5
31,352,10
32,341,8
33,328,14
34,332,3
35,339,4
36,350,62
37,353,5
38,333,2
39,335,4
40,342,5
41,347,3
42,348,3
43,349,3
44,334,8
45,336,9
46,1424,3
47,551,23
48,552,2
49,811,2
50,69,2
51,1213,2
52,1211,2
53,1209,2
54,801,2
55,68,2
56,1210,2
57,1212,2
58,306,2
59,1044,3
60,1041,2
61,1043,3
62,1042,2
63,486,3
64,481,9
65,490,2
66,488,2
67,489,3
68,479,29
69,482,2
70,483,4
71,480,11
72,484,3
73,487,2
74,485,27
75,857,35
76,858,4
77,263,15
78,226,2
79,377,7
80,1289,2
81,282,2
82,1287,5
83,1288,6
84,558,2
85,142,2
86,144,8
87,143,8
88,145,4
89,1323,6
90,1324,2
91,1326,2
92,1325,2
93,1418,2
94,1419,2
95,1420,2
96,283,2
97,574,14
98,575,21
99,1342,5
100,560,2
101,859,2
102,1158,11
103,1159,3
104,391,2
105,828,2
106,829,2
107,743,3
108,833,2
109,1048,2
110,376,2
111,356,4
112,1433,2
113,1434,2
114,533,4
115,1217,5
116,0,1
116,111,3
117,112,2
118,262,4
119,407,2
120,1053,20
121,1054,103
122,1070,4
123,1064,19
124,1065,2
125,1066,4
126,400,2
127,1055,196
128,1056,2
129,411,2
130,1057,20
131,1080,3
132,1078,2
133,1074,3
134,399,3
135,1049,2
136,1072,2
137,1051,2
138,409,2
139,1058,18
140,1050,4
141,1059,9
142,1067,2
143,1079,3
144,1060,9
145,1081,2
146,1069,6
147,1061,22
148,1075,4
149,1073,2
150,1068,3
151,1076,3
152,1062,75
153,1071,5
154,1063,19
155,408,2
156,1052,16
157,1077,2
158,417,2
159,410,2
160,1060,3
161,259,2
162,638,2
163,628,5
164,256,4
165,257,5
166,633,3
167,630,2
