genus,species,ngenomes,migration_dst_idxs1,migration_ndropped,migration_single_dst,migration_1to1,migration_identical
Acetobacter,aceti,3,298,0,True,True,True
Acetobacter,cerevisiae,3,302,0,True,True,True
Acetobacter,orleanensis,2,300,0,True,True,True
Acetobacter,pasteurianus,12,299,0,True,True,True
Acetobacter,pomorum,2,297,0,True,True,True
Acetobacter,tropicalis,4,301,0,True,True,True
Achromobacter,piechaudii,3,140,0,True,True,True
Achromobacter,xylosoxidans,18,139,0,True,True,True
Acidaminococcus,intestini,2,712,0,True,True,True
Acidiphilium,multivorum,2,389,0,True,True,True
Acidithiobacillus,caldus,2,862,0,True,True,True
Acidithiobacillus,ferrivorans,2,865,0,True,True,True
Acidithiobacillus,ferrooxidans,4,863,0,True,True,True
Acidithiobacillus,thiooxidans,3,864,0,True,True,True
Acidovorax,avenae,2,458,0,True,True,True
Acidovorax,citrulli,4,459,0,True,True,True
Acidovorax,radicis,2,457,0,True,True,True
Acinetobacter,baumannii,1277,329,0,True,True,True
Acinetobacter,baylyi,4,344,0,True,True,True
Acinetobacter,beijerinckii,3,331,0,True,True,True
Acinetobacter,bereziniae,5,326,0,True,True,True
Acinetobacter,bouvetii,3,345,0,True,True,True
Acinetobacter,brisouii,3,337,0,True,True,True
Acinetobacter,calcoaceticus,10,330,0,True,True,True
Acinetobacter,gerneri,3,346,0,True,True,True
Acinetobacter,guillouiae,4,327,0,True,True,True
Acinetobacter,gyllenbergii,4,340,0,True,True,True
Acinetobacter,haemolyticus,8,343,0,True,True,True
Acinetobacter,indicus,4,338,0,True,True,True
Acinetobacter,johnsonii,5,351,0,True,True,True
Acinetobacter,junii,10,352,0,True,True,True
Acinetobacter,lwoffii,8,341,0,True,True,True
Acinetobacter,nosocomialis,14,328,0,True,True,True
Acinetobacter,oleivorans,3,332,0,True,True,True
Acinetobacter,parvus,4,339,0,True,True,True
Acinetobacter,pittii,62,350,0,True,True,True
Acinetobacter,radioresistens,5,353,0,True,True,True
Acinetobacter,rudis,2,333,0,True,True,True
Acinetobacter,schindleri,4,335,0,True,True,True
Acinetobacter,soli,5,342,0,True,True,True
Acinetobacter,tandoii,3,347,0,True,True,True
Acinetobacter,tjernbergiae,3,348,0,True,True,True
Acinetobacter,towneri,3,349,0,True,True,True
Acinetobacter,ursingii,8,334,0,True,True,True
Acinetobacter,venetianus,9,336,0,True,True,True
Actinoalloteichus,cyanogriseus,3,1424,0,True,True,True
Actinobacillus,pleuropneumoniae,23,551,0,True,True,True
Actinobacillus,suis,2,552,0,True,True,True
Actinobaculum,massiliense,2,811,0,True,True,True
Actinomyces,georgiae,2,69,0,True,True,True
Actinomyces,graevenitzii,2,1213,0,True,True,True
Actinomyces,johnsonii,2,1211,0,True,True,True
Actinomyces,massiliensis,2,1209,0,True,True,True
Actinomyces,neuii,2,801,0,True,True,True
Actinomyces,odontolyticus,2,68,0,True,True,True
Actinomyces,oris,2,1210,0,True,True,True
Actinomyces,urogenitalis,2,1212,0,True,True,True
Actinotignum,schaalii,2,306,0,True,True,True
Aerococcus,christensenii,3,1044,0,True,True,True
Aerococcus,urinae,2,1041,0,True,True,True
Aerococcus,urinaeequi,3,1043,0,True,True,True
Aerococcus,viridans,2,1042,0,True,True,True
Aeromonas,allosaccharophila,3,486,0,True,True,True
Aeromonas,caviae,9,481,0,True,True,True
Aeromonas,dhakensis,2,490,0,True,True,True
Aeromonas,diversa,2,488,0,True,True,True
Aeromonas,enteropelogenes,3,489,0,True,True,True
Aeromonas,hydrophila,29,479,0,True,True,True
Aeromonas,jandaei,2,482,0,True,True,True
Aeromonas,media,4,483,0,True,True,True
Aeromonas,salmonicida,11,480,0,True,True,True
Aeromonas,schubertii,3,484,0,True,True,True
Aeromonas,taiwanensis,2,487,0,True,True,True
Aeromonas,veronii,27,485,0,True,True,True
Aggregatibacter,actinomycetemcomitans,35,857,0,True,True,True
Aggregatibacter,aphrophilus,4,858,0,True,True,True
Agrobacterium,tumefaciens,15,263,0,True,True,True
Akkermansia,muciniphila,2,226,0,True,True,True
Alcaligenes,faecalis,7,377,0,True,True,True
Algibacter,lectus,2,1289,0,True,True,True
Alicycliphilus,denitrificans,2,282,0,True,True,True
