db_id,taxid,name,genus_id,ngenomes,migration_src_idxs1,migration_single_src,migration_identical,migration_1to1
463,39492,[Eubacterium] siraeum,0,2,1136,True,True,True
1105,2051,Mobiluncus curtisii,1,3,797,True,False,True
1106,2052,Mobiluncus mulieris,1,4,798,True,True,True
947,173559,Gordonia sihwensis,2,2,542,True,True,True
1107,2055,Gordonia terrae,2,2,543,True,True,True
1145,84096,Gordonia alkanivorans,2,3,538,True,True,True
1199,84595,Gordonia polyisoprenivorans,2,3,541,True,True,True
1451,53427,Gordonia hirsuta,2,2,540,True,True,True
1794,89053,Gordonia amicalis,2,2,539,True,True,True
540,277,Meiothermus ruber,3,4,778,True,True,True
1079,1894,Kitasatospora aureofaciens,4,4,1269,True,True,True
1109,2066,Kitasatospora setae,4,2,587,True,True,True
467,24,Shewanella putrefaciens,5,3,1171,True,True,True
1571,62322,Shewanella baltica,5,9,1169,True,True,True
1635,38313,Shewanella algae,5,4,1168,True,True,True
1852,56812,Shewanella frigidimarina,5,2,1170,True,True,True
1118,444463,Sporolactobacillus vineae,6,2,1202,True,True,True
1838,269673,Sporolactobacillus terrae,6,2,1201,True,True,True
1110,231455,Dyella japonica,7,2,432,True,True,True
470,34,Myxococcus xanthus,8,3,864,True,True,True
471,41,Stigmatella aurantiaca,9,2,1227,True,True,True
469,57372,Mycoplasma suis,10,2,858,True,True,True
1111,2094,Mycoplasma arginini,10,2,836,True,True,True
1112,2095,Mycoplasma capricolum,10,10,840,True,True,True
1113,2096,Mycoplasma gallisepticum,10,12,844,True,True,True
1114,2097,Mycoplasma genitalium,10,6,845,True,True,True
1115,2098,Mycoplasma hominis,10,11,847,True,True,True
1116,2099,Mycoplasma hyopneumoniae,10,6,848,True,True,True
1117,2100,Mycoplasma hyorhinis,10,6,849,True,True,True
1121,2102,Mycoplasma mycoides,10,15,854,True,True,True
1123,2105,Mycoplasma leachii,10,2,852,True,True,True
1124,2104,Mycoplasma pneumoniae,10,54,856,True,True,True
1125,2109,Mycoplasma synoviae,10,4,859,True,True,True
1128,2115,Mycoplasma fermentans,10,3,842,True,True,True
1129,2116,Mycoplasma iowae,10,2,851,True,True,True
1131,2122,Mycoplasma pirum,10,2,855,True,True,True
1132,2123,Mycoplasma putrefaciens,10,2,857,True,True,True
1133,2128,Mycoplasma flocculare,10,2,843,True,True,True
1148,51365,Mycoplasma yeatsii,10,2,860,True,True,True
1461,28903,Mycoplasma bovis,10,8,837,True,True,True
1560,29501,Mycoplasma haemofelis,10,2,846,True,True,True
1572,29555,Mycoplasma canis,10,7,839,True,True,True
1573,29559,Mycoplasma hyosynoviae,10,7,850,True,True,True
1575,29561,Mycoplasma meleagridis,10,2,853,True,True,True
