diameter,outgoing_overlaps,incoming_overlaps
0.016888045,0,1
0.58687973,0,0
0.31457192,0,1
0.35193944,0,2
0.0010673394,0,2
0.3958209,0,2
0.43722942,0,3
0.0,0,1
0.4430138,0,3
0.2079285,0,0
0.4793937,0,2
0.0024285715,0,2
0.37732378,0,1
0.5920513,0,1
0.3873056,0,1
0.59344506,0,2
0.005995905,0,1
0.33225095,0,1
0.0062548867,0,1
0.012629652,0,1
0.012571359,0,1
0.37881875,0,1
0.23933649,0,1
0.52478135,0,2
0.39670658,0,1
0.13089006,0,1
0.5,0,2
0.36507937,0,2
0.17335059,0,1
0.6792691,0,2
0.0885214,0,2
0.07932875,0,1
0.22,0,1
0.17726398,0,1
0.26827928,0,2
0.0076086954,0,1
0.23559321,0,1
0.00466563,0,1
0.5847273,0,1
0.41219157,0,1
0.38483277,0,0
0.46254545,0,2
0.33803988,0,1
0.30695444,0,1
0.04109589,0,1
0.023280092,0,1
0.47705576,0,1
0.4800668,0,1
0.35736996,0,1
0.02213667,0,1
0.011296396,0,2
0.0071399705,0,1
0.21627516,0,1
0.24565972,0,2
0.30825242,0,2
0.22505091,0,1
0.13623978,0,1
0.0023724793,0,1
0.5527429,0,1
0.5976469,0,1
0.4641788,0,1
0.44744584,0,1
0.0696767,0,1
0.34073246,0,1
0.3008765,0,1
0.60699534,0,1
0.40932602,0,1
0.46645188,0,0
0.25009754,0,1
0.4133103,0,2
0.70236814,0,1
0.23561431,0,1
0.11958875,0,1
0.48918268,1,2
0.58088696,0,2
0.42190015,0,2
0.64772534,0,1
0.26961666,0,1
0.31771094,0,1
0.65222996,0,1
0.0076923077,0,1
0.50396657,0,2
0.8660918,0,3
0.0074618794,0,1
0.44918007,0,1
0.57459503,0,1
0.7657359,0,2
0.026791276,0,0
0.2679204,0,1
0.43071076,0,2
0.01943109,0,0
0.4839636,0,2
0.33827025,0,1
0.006045949,0,2
0.26512167,0,1
0.00048812234,0,1
0.5355425,0,2
0.45514676,0,1
0.6666124,0,1
0.5874389,0,1
0.6762464,0,2
0.26797244,0,1
0.0023094688,0,1
0.51806384,0,1
0.3109186,0,1
0.15806602,0,1
0.42754892,0,1
0.008465609,0,1
0.41984564,0,1
0.009786209,0,1
0.6858578,0,1
0.0016078402,0,1
0.009228375,0,1
0.8577195,1,2
0.9701105,0,2
0.7276573,0,3
0.7333574,0,2
0.63154197,0,1
0.5727827,0,2
0.00043782836,0,0
0.63752913,0,1
0.3293147,0,2
0.24931921,0,1
0.02257484,0,1
0.39867786,0,1
0.42669845,0,1
0.858418,0,2
0.24277043,0,1
0.0007788162,0,1
0.5214201,0,1
0.40611354,0,1
0.56129366,0,2
0.009620524,0,1
0.6920719,0,1
0.35357493,0,0
0.08320951,0,1
0.518217,0,1
0.009449071,0,1
0.44396177,0,1
0.3820096,0,1
0.56311464,0,2
0.33131275,0,1
0.45116532,0,1
0.64545816,0,2
0.28553176,0,1
0.04637097,0,2
0.0037292817,0,1
0.019126425,0,3
0.4963965,0,1
0.046411805,0,2
0.0012152309,0,3
0.071353205,6,3
0.054093182,2,3
0.061127283,4,3
0.007444169,0,1
0.0010121458,0,1
0.0037902717,0,1
0.28450888,0,2
0.0011525163,0,1
0.007688229,0,1
0.27644527,0,1
0.5117788,0,1
0.3529357,0,2
0.0,0,1
0.45972264,0,1
0.5035405,0,2
0.009352787,0,1
0.24450299,0,1
0.6341692,0,1
0.37016353,0,1
0.30690244,0,0
0.6328302,0,0
0.23296158,0,0
0.3281665,0,0
0.80393785,0,2
0.55093855,0,1
0.46325824,0,1
0.55836576,1,5
0.976624,20,2
0.009447525,0,2
0.0033364473,0,2
0.88675135,1,4
0.90746164,0,2
0.9157518,5,5
0.3998835,0,1
0.88428885,0,2
0.9419477,4,2
0.30727082,0,1
0.9618239,3,2
0.39893204,1,3
0.005766369,0,4
0.51439506,0,2
0.5188015,0,2
0.22060196,0,2
0.35048825,0,2
0.4206562,0,2
0.37973467,0,2
0.48988616,2,4
0.29230294,0,2
0.091397285,0,3
0.11558129,0,3
0.19972888,0,2
0.014573089,0,1
0.26103586,0,2
0.7118007,0,2
0.52244425,2,5
0.22244248,0,3
0.0033769954,0,2
0.0028799144,0,2
0.24791409,0,2
0.0,0,1
0.0,0,1
0.015068493,0,0
0.002545609,0,0
0.004160666,0,1
0.37623763,0,1
0.2114579,0,1
0.64289635,0,1
0.18425106,0,1
0.3474238,0,1
0.61247945,0,1
0.22950974,0,1
0.45568824,0,2
0.033665657,0,1
0.0005545082,0,1
0.2524214,0,1
0.67622817,0,1
0.598002,0,1
0.57524663,0,1
0.7485599,0,2
0.6238455,0,1
0.39845973,0,1
0.013839891,0,1
0.004177982,0,1
0.66589826,0,1
0.0043541365,0,0
0.5931716,0,1
0.015451342,0,1
0.0076793605,0,1
0.20610027,0,2
0.4098207,0,1
0.725948,0,1
0.66068995,0,1
0.6014387,0,2
0.5787857,0,1
0.46175593,0,1
0.45283222,1,1
0.56167746,0,1
0.12149028,0,1
0.0067781294,0,1
0.4098665,0,1
0.3734062,0,1
0.0,0,1
0.4764421,0,1
0.46532553,0,2
0.020858165,0,0
0.4300752,0,1
0.009029843,0,1
0.0068896404,0,1
0.006437768,0,2
0.0070178905,0,1
0.21330988,0,1
0.9270978,0,2
0.35563973,0,2
0.01045947,0,3
0.9281178,3,1
0.59194356,0,2
0.22000408,0,1
0.05886056,0,2
0.43634656,0,2
0.741248,0,1
0.0048148762,0,1
0.8020897,0,2
0.8839429,1,2
0.007484871,0,1
0.8663273,0,2
0.6087173,0,1
0.12763001,0,1
0.45460263,0,2
0.51274985,0,1
0.36277643,0,1
0.43141645,0,1
0.5115272,0,1
0.03961839,0,1
0.03910483,0,1
0.40874934,0,1
0.0,0,1
0.03692356,0,1
0.12754644,0,1
0.46983537,0,1
0.2949492,0,1
0.0016273393,0,1
0.6630165,0,2
0.13575482,0,0
0.032061238,0,1
0.004270463,0,1
0.15282977,0,1
0.033568215,0,1
0.5673296,0,1
0.0021777004,0,1
0.5406583,0,1
0.5857047,0,1
0.38668403,0,1
0.38234165,0,1
0.4151515,0,1
0.003991403,0,2
0.64285123,0,1
0.04420122,0,1
0.4975775,0,1
0.07452556,0,2
0.093611546,0,1
0.86924297,0,1
0.0,0,1
0.1307412,0,1
0.16707522,0,1
0.0020187455,0,2
0.066470265,0,1
0.0035098915,0,1
0.004211793,0,2
0.16980593,0,1
0.0046710265,0,1
0.22060767,0,1
0.00034287674,0,1
0.5141252,0,1
0.31584677,0,2
0.46862543,0,1
0.5756904,0,1
0.48005193,0,1
0.61639285,0,2
0.58874565,0,2
0.544722,0,1
0.0005698655,0,1
0.004184587,0,2
0.55603707,0,1
0.5376018,0,2
0.6179445,0,1
0.0051605506,0,1
0.57873386,0,1
0.5505267,0,1
0.30686393,0,1
0.61881775,0,2
0.39519462,0,1
0.49215585,0,1
0.048084665,0,1
0.0022182171,0,1
0.008764242,0,1
0.014027149,0,2
0.005298715,0,2
0.008017016,0,1
0.63880575,0,2
0.6525238,0,1
0.5375369,0,2
0.4360376,0,2
0.95658773,0,1
0.6112057,0,3
0.6447668,0,2
0.2099478,0,4
0.95812166,4,2
0.956854,4,3
0.55783546,0,3
0.6688838,0,3
0.61114645,0,1
0.16830675,0,1
0.46475163,0,1
0.5796024,0,3
0.5262083,0,2
0.5947641,0,2
0.5753025,0,2
0.022768434,0,1
0.36329553,0,1
0.6034646,0,0
0.5059418,0,1
0.0026438886,0,2
0.43158725,0,1
0.5367263,0,1
0.0,0,1
0.90902114,0,1
0.29596853,0,1
0.18476357,0,2
0.41567653,0,2
0.17044818,0,1
0.024461482,0,1
0.18960674,0,1
0.022669706,0,1
0.0010700909,0,1
0.21955045,0,1
0.5955998,0,2
0.16934296,0,1
0.012114686,0,1
0.52934337,0,1
0.00447669,0,1
0.28044233,0,1
0.42915037,0,1
0.62050754,0,1
0.37785614,0,0
0.42015857,0,1
0.6616403,0,0
0.5145901,0,1
0.77339524,0,1
0.0,0,1
0.4007337,0,2
0.31670195,0,2
0.5007955,0,3
0.013566653,0,1
0.30766425,0,3
0.40860775,0,1
0.0,0,2
0.0038219425,0,1
0.0,0,1
0.0,0,1
0.20433144,0,1
0.67781055,1,4
0.67394334,1,4
0.3044115,0,1
0.79222167,0,4
0.016917905,0,2
0.0022087775,0,2
0.35966736,0,1
0.02221965,0,1
0.3876567,0,1
0.53320235,0,1
0.008191277,0,1
0.0031617554,0,1
0.718016,4,4
0.37531173,0,3
0.46164384,0,2
0.94035167,0,2
0.5994478,0,1
0.67830503,0,3
0.8461232,0,3
0.4691092,0,4
0.3709914,0,1
0.46896553,0,3
0.83185625,0,1
0.5902292,0,2
0.30627716,0,1
0.29363433,0,1
0.8991087,0,2
0.9608333,19,2
0.29789582,0,2
0.5219907,0,2
0.00029312618,0,1
0.6608898,0,2
0.77709585,0,3
0.28604335,0,1
0.61381966,0,1
0.38462338,0,1
0.7450377,0,1
0.5470578,0,1
0.29693276,1,4
0.56022036,4,4
0.2614373,0,5
0.37325796,0,5
0.010695893,0,1
0.29497683,0,2
0.7281566,0,1
0.0005256242,0,1
0.49802276,0,1
0.25376377,0,1
0.6831179,0,3
0.6543031,0,2
0.49666002,0,2
0.1914977,0,3
0.21411555,0,3
0.28818804,1,2
0.1422793,0,2
0.029221363,0,2
0.7862237,0,2
0.57692903,0,2
0.95910954,9,1
0.21572468,0,2
0.47748357,0,2
0.1877596,0,1
0.21787757,0,1
0.48066297,0,1
0.16366267,0,1
0.056209784,0,1
0.0006908122,0,1
0.5894194,0,1
0.564929,0,1
0.4825486,0,1
0.5411219,0,1
0.48912874,0,1
0.3324686,0,1
0.60305166,0,1
0.6270957,0,1
0.014071721,0,1
0.012344108,0,1
0.47436866,0,1
0.0041841003,0,1
0.99871933,384,1
0.5650283,0,2
0.34695467,0,3
0.54674244,0,1
0.6263525,0,1
0.6152744,0,2
0.6326613,0,1
0.29092044,0,1
0.47017097,0,2
0.62967855,0,3
0.8357247,1,3
0.80108935,1,3
0.58033895,0,2
0.89714146,4,1
0.5265448,0,2
0.5490858,0,2
0.69853157,0,2
0.5471358,0,1
0.65858173,0,2
0.47796008,0,1
0.00465286,0,1
0.0027977133,0,1
0.4639376,1,2
0.4847639,0,1
0.5749452,0,1
0.5466896,0,2
0.4446182,0,2
0.0015500672,0,1
0.5795263,0,1
0.0012695312,0,1
0.5043252,0,2
0.0088538155,0,1
0.43732247,0,2
0.54914284,0,1
0.8672919,3,4
0.033364702,0,1
0.17655604,0,1
0.33142856,0,2
0.43303895,0,1
0.8725412,2,3
0.5708502,0,1
0.68577874,0,0
0.92015254,0,1
0.1421848,0,1
0.00056264066,0,1
0.16981132,0,2
0.23863925,0,1
0.5909497,0,1
0.012923077,0,1
0.0027104723,0,1
0.00048212134,0,1
0.42318386,0,2
0.00022031284,0,2
0.37416422,0,1
0.019253073,0,2
0.5021989,0,1
0.5116211,0,2
0.38595757,0,1
0.0030734842,0,1
0.011829492,0,1
0.36776364,0,1
0.07881644,0,1
0.69698364,0,1
0.7128954,0,2
0.7898983,0,2
0.6636543,0,1
0.23679061,0,2
0.00048297513,0,0
0.8719926,0,1
0.005272634,0,1
0.588151,0,1
0.009030544,0,1
0.41198567,0,1
0.0021971362,0,1
0.0333811,0,1
0.0,0,2
0.0017521504,0,1
0.6448125,0,1
0.27489734,1,2
0.6539554,0,1
0.32584646,0,1
0.2983168,0,1
0.80480236,2,2
0.34137657,0,1
0.52646637,0,1
0.0060706404,0,3
0.0009460738,0,1
0.014,0,1
0.14192903,0,1
0.8256517,0,2
0.21773328,0,1
0.3115225,0,2
0.086906806,0,1
0.01257229,0,1
0.028731199,0,1
0.09824096,0,1
0.21300578,0,1
0.38588357,0,1
0.006265664,0,1
0.6479401,0,1
0.042357273,0,1
0.19435655,0,1
0.23107049,0,1
0.21307038,0,1
0.044067796,0,1
0.11603116,0,1
0.0,0,1
0.020808324,0,1
0.29312763,0,2
0.2678822,0,1
0.11766903,0,1
0.17399545,0,1
0.099027105,0,2
0.0012738854,0,1
0.00042753314,0,1
0.17470355,0,1
0.0,0,1
0.004640371,0,1
0.0039726878,0,2
0.66933334,0,2
0.5332734,0,1
0.42179462,0,1
0.6421458,0,1
0.1677151,0,1
0.29681924,0,0
