id,ncbi_id,name,rank,parent_id,in_v12,manual_threshold,report,is_leaf
1,2050,Mobiluncus,genus,,true,NaN,true,false
2,2053,Gordonia,genus,,true,NaN,true,false
3,65551,Meiothermus,genus,,true,NaN,true,false
4,2063,Kitasatospora,genus,,true,NaN,true,false
5,22,Shewanella,genus,,true,NaN,true,false
6,2077,Sporolactobacillus,genus,,true,NaN,true,false
7,231454,Dyella,genus,,true,NaN,true,false
8,32,Myxococcus,genus,,true,NaN,true,false
9,40,Stigmatella,genus,,true,NaN,true,false
10,2093,Mycoplasma,genus,,true,NaN,true,false
11,235572,Candidatus Portiera,genus,,true,NaN,true,false
12,335927,Thalassobius,genus,,true,NaN,true,false
13,946234,Flavonifractor,genus,,true,NaN,true,false
14,68,Lysobacter,genus,,true,NaN,true,false
15,559173,Fructobacillus,genus,,true,NaN,true,false
16,75,Caulobacter,genus,,true,NaN,true,false
17,1470540,Jeotgalibaca,genus,,true,NaN,true,false
18,2129,Ureaplasma,genus,,true,NaN,true,false
19,2132,Spiroplasma,genus,,true,NaN,true,false
20,53335,Pantoea,genus,,true,NaN,true,false
21,106589,Cupriavidus,genus,,true,NaN,true,false
22,245876,Nitratireductor,genus,,true,NaN,true,false
23,2529408,Schaalia,genus,,true,NaN,true,false
24,90243,Oligella,genus,,true,NaN,true,false
25,138,Borrelia,genus,,true,NaN,true,false
26,98443,Richelia,genus,,true,NaN,true,false
27,84111,Eggerthella,genus,,true,NaN,true,false
28,1742992,Paenarthrobacter,genus,,true,NaN,true,false
29,146,Spirochaeta,genus,,true,NaN,true,false
30,1960084,Rodentibacter,genus,,true,NaN,true,false
31,57493,Kocuria,genus,,true,NaN,true,false
32,202907,Collimonas,genus,,true,NaN,true,false
33,57499,Kytococcus,genus,,true,NaN,true,false
34,157,Treponema,genus,,true,NaN,true,false
35,270497,Catabacter,genus,,true,NaN,true,false
36,202746,Sulfurimonas,genus,,true,NaN,true,false
37,51366,Salinivibrio,genus,,true,NaN,true,false
38,171,Leptospira,genus,,true,NaN,true,false
39,179,Leptospirillum,genus,,true,NaN,true,false
40,1048757,Candidatus Moranella,genus,,true,NaN,true,false
41,1849530,Oblitimonas,genus,,true,NaN,true,false
42,1335483,Shimwellia,genus,,true,NaN,true,false
43,191,Azospirillum,genus,,true,NaN,true,false
44,1618113,Saccharicrinis,genus,,true,NaN,true,false
45,194,Campylobacter,genus,,true,NaN,true,false
46,121038,Ferrimicrobium,genus,,true,NaN,true,false
47,75984,Mannheimia,genus,,true,NaN,true,false
48,209,Helicobacter,genus,,true,NaN,true,false
49,28884,Hydrogenovibrio,genus,,true,NaN,true,false
50,222,Achromobacter,genus,,true,NaN,true,false
51,28895,Thermoanaerobacterium,genus,,true,NaN,true,false
52,226,Alteromonas,genus,,true,NaN,true,false
53,234,Brucella,genus,,true,NaN,true,false
54,237,Flavobacterium,genus,,true,NaN,true,false
55,1906945,Parageobacillus,genus,,true,NaN,true,false
56,119044,Filomicrobium,genus,,true,NaN,true,false
57,262,Francisella,genus,,true,NaN,true,false
58,265,Paracoccus,genus,,true,NaN,true,false
59,270,Thermus,genus,,true,NaN,true,false
60,283,Comamonas,genus,,true,NaN,true,false
61,286,Pseudomonas,genus,,true,NaN,true,false
62,33055,Candidatus Kinetoplastibacterium,genus,,true,NaN,true,false
63,2335,Thermotoga,genus,,true,NaN,true,false
64,33057,Thauera,genus,,true,NaN,true,false
65,125216,Roseomonas,genus,,true,NaN,true,false
66,1792291,Marinagarivorans,genus,,true,NaN,true,false
67,2582840,Desulfocurvibacter,genus,,true,NaN,true,false
68,129337,Geobacillus,genus,,true,NaN,true,false
69,41275,Brevundimonas,genus,,true,NaN,true,false
70,47420,Hydrogenophaga,genus,,true,NaN,true,false
71,1745211,Chania,genus,,true,NaN,true,false
72,239934,Akkermansia,genus,,true,NaN,true,false
73,57665,Sulfurospirillum,genus,,true,NaN,true,false
74,2370,Xylella,genus,,true,NaN,true,false
75,2742598,Limosilactobacillus,genus,,true,NaN,true,false
76,2375,Sporomusa,genus,,true,NaN,true,false
77,338,Xanthomonas,genus,,true,NaN,true,false
78,59732,Chryseobacterium,genus,,true,NaN,true,false
79,59735,Bergeyella,genus,,true,NaN,true,false
80,909656,Phocaeicola,genus,,true,NaN,true,false
81,59738,Marinilabilia,genus,,true,NaN,true,false
82,43356,Kutzneria,genus,,true,NaN,true,false
83,352,Azotobacter,genus,,true,NaN,true,false
84,357,Agrobacterium,genus,,true,NaN,true,false
