id,ncbi_id,name,rank,parent_id,in_v12,manual_threshold,report,key,is_leaf,plot_label
1,2050,Mobiluncus,genus,,true,NaN,true,ncbi/taxonomy/2050,false,1 Mobiluncus
2,2053,Gordonia,genus,,true,NaN,true,ncbi/taxonomy/2053,false,2 Gordonia
3,65551,Meiothermus,genus,,true,NaN,true,ncbi/taxonomy/65551,false,3 Meiothermus
4,2063,Kitasatospora,genus,,true,NaN,true,ncbi/taxonomy/2063,false,4 Kitasatospora
5,22,Shewanella,genus,,true,NaN,true,ncbi/taxonomy/22,false,5 Shewanella
6,2077,Sporolactobacillus,genus,,true,NaN,true,ncbi/taxonomy/2077,false,6 Sporolactobacillus
7,231454,Dyella,genus,,true,NaN,true,ncbi/taxonomy/231454,false,7 Dyella
8,32,Myxococcus,genus,,true,NaN,true,ncbi/taxonomy/32,false,8 Myxococcus
9,40,Stigmatella,genus,,true,NaN,true,ncbi/taxonomy/40,false,9 Stigmatella
10,2093,Mycoplasma,genus,,true,NaN,true,ncbi/taxonomy/2093,false,10 Mycoplasma
11,235572,Candidatus Portiera,genus,,true,NaN,true,ncbi/taxonomy/235572,false,11 Candidatus Portiera
12,335927,Thalassobius,genus,,true,NaN,true,ncbi/taxonomy/335927,false,12 Thalassobius
13,946234,Flavonifractor,genus,,true,NaN,true,ncbi/taxonomy/946234,false,13 Flavonifractor
14,68,Lysobacter,genus,,true,NaN,true,ncbi/taxonomy/68,false,14 Lysobacter
15,559173,Fructobacillus,genus,,true,NaN,true,ncbi/taxonomy/559173,false,15 Fructobacillus
16,75,Caulobacter,genus,,true,NaN,true,ncbi/taxonomy/75,false,16 Caulobacter
17,1470540,Jeotgalibaca,genus,,true,NaN,true,ncbi/taxonomy/1470540,false,17 Jeotgalibaca
18,2129,Ureaplasma,genus,,true,NaN,true,ncbi/taxonomy/2129,false,18 Ureaplasma
19,2132,Spiroplasma,genus,,true,NaN,true,ncbi/taxonomy/2132,false,19 Spiroplasma
20,53335,Pantoea,genus,,true,NaN,true,ncbi/taxonomy/53335,false,20 Pantoea
21,106589,Cupriavidus,genus,,true,NaN,true,ncbi/taxonomy/106589,false,21 Cupriavidus
22,245876,Nitratireductor,genus,,true,NaN,true,ncbi/taxonomy/245876,false,22 Nitratireductor
23,2529408,Schaalia,genus,,true,NaN,true,ncbi/taxonomy/2529408,false,23 Schaalia
24,90243,Oligella,genus,,true,NaN,true,ncbi/taxonomy/90243,false,24 Oligella
25,138,Borrelia,genus,,true,NaN,true,ncbi/taxonomy/138,false,25 Borrelia
26,98443,Richelia,genus,,true,NaN,true,ncbi/taxonomy/98443,false,26 Richelia
27,84111,Eggerthella,genus,,true,NaN,true,ncbi/taxonomy/84111,false,27 Eggerthella
28,1742992,Paenarthrobacter,genus,,true,NaN,true,ncbi/taxonomy/1742992,false,28 Paenarthrobacter
29,146,Spirochaeta,genus,,true,NaN,true,ncbi/taxonomy/146,false,29 Spirochaeta
30,1960084,Rodentibacter,genus,,true,NaN,true,ncbi/taxonomy/1960084,false,30 Rodentibacter
31,57493,Kocuria,genus,,true,NaN,true,ncbi/taxonomy/57493,false,31 Kocuria
32,202907,Collimonas,genus,,true,NaN,true,ncbi/taxonomy/202907,false,32 Collimonas
33,57499,Kytococcus,genus,,true,NaN,true,ncbi/taxonomy/57499,false,33 Kytococcus
34,157,Treponema,genus,,true,NaN,true,ncbi/taxonomy/157,false,34 Treponema
35,270497,Catabacter,genus,,true,NaN,true,ncbi/taxonomy/270497,false,35 Catabacter
36,202746,Sulfurimonas,genus,,true,NaN,true,ncbi/taxonomy/202746,false,36 Sulfurimonas
37,51366,Salinivibrio,genus,,true,NaN,true,ncbi/taxonomy/51366,false,37 Salinivibrio
38,171,Leptospira,genus,,true,NaN,true,ncbi/taxonomy/171,false,38 Leptospira
39,179,Leptospirillum,genus,,true,NaN,true,ncbi/taxonomy/179,false,39 Leptospirillum
40,1048757,Candidatus Moranella,genus,,true,NaN,true,ncbi/taxonomy/1048757,false,40 Candidatus Moranella
41,1849530,Oblitimonas,genus,,true,NaN,true,ncbi/taxonomy/1849530,false,41 Oblitimonas
42,1335483,Shimwellia,genus,,true,NaN,true,ncbi/taxonomy/1335483,false,42 Shimwellia
43,191,Azospirillum,genus,,true,NaN,true,ncbi/taxonomy/191,false,43 Azospirillum
44,1618113,Saccharicrinis,genus,,true,NaN,true,ncbi/taxonomy/1618113,false,44 Saccharicrinis
45,194,Campylobacter,genus,,true,NaN,true,ncbi/taxonomy/194,false,45 Campylobacter
46,121038,Ferrimicrobium,genus,,true,NaN,true,ncbi/taxonomy/121038,false,46 Ferrimicrobium
47,75984,Mannheimia,genus,,true,NaN,true,ncbi/taxonomy/75984,false,47 Mannheimia
48,209,Helicobacter,genus,,true,NaN,true,ncbi/taxonomy/209,false,48 Helicobacter
49,28884,Hydrogenovibrio,genus,,true,NaN,true,ncbi/taxonomy/28884,false,49 Hydrogenovibrio
50,222,Achromobacter,genus,,true,NaN,true,ncbi/taxonomy/222,false,50 Achromobacter
51,28895,Thermoanaerobacterium,genus,,true,NaN,true,ncbi/taxonomy/28895,false,51 Thermoanaerobacterium
52,226,Alteromonas,genus,,true,NaN,true,ncbi/taxonomy/226,false,52 Alteromonas
53,234,Brucella,genus,,true,NaN,true,ncbi/taxonomy/234,false,53 Brucella
54,237,Flavobacterium,genus,,true,NaN,true,ncbi/taxonomy/237,false,54 Flavobacterium
55,1906945,Parageobacillus,genus,,true,NaN,true,ncbi/taxonomy/1906945,false,55 Parageobacillus
57,262,Francisella,genus,,true,NaN,true,ncbi/taxonomy/262,false,57 Francisella
