uid,refseq_acc,primary_taxid,species_taxid,use
10002351,GCF_018278905.1,886343,886343,True
1000421,GCF_001990485.1,660294,660294,True
10005961,GCF_018283645.1,977794,977794,True
1000651,GCF_001991015.1,237610,237610,True
10006551,GCF_018286635.1,1592790,1592790,True
10006591,GCF_018288855.1,58169,58169,True
10006681,GCF_018289355.1,821,821,True
10006851,GCF_018292125.1,246787,246787,True
10006871,GCF_018292165.1,997890,820,True
10014241,GCF_018304805.1,2821542,2851959,False
10014251,GCF_018304825.1,2821543,2821543,False
10014701,GCF_018304965.1,1940615,1940615,True
10018731,GCF_018309165.1,1396,1396,True
10019851,GCF_018310345.1,1944633,1944633,True
10026091,GCF_018323985.1,208224,208224,False
10026151,GCF_018324105.1,202951,202951,True
10026191,GCF_018324205.1,122358,122358,True
10026231,GCF_018324255.1,338584,338584,False
10026281,GCF_018324385.1,1682490,1682490,False
10026431,GCF_018324685.1,390989,390989,True
10027351,GCF_018326425.1,1125966,1125966,True
1002771,GCF_001995215.1,1238180,36819,True
1002781,GCF_001995255.1,252474,252474,True
10027961,GCF_018327645.1,2201249,2201249,True
1002811,GCF_900156895.1,1631249,1631249,False
1002821,GCF_900162615.1,84407,84407,False
1002931,GCF_900162645.1,1918946,1918946,True
1003011,GCF_900156865.1,1926280,1926280,False
10030481,GCF_018332455.1,69208,69208,True
10030581,GCF_018332655.1,47988,47988,True
10030601,GCF_018332695.1,571911,571911,True
10030611,GCF_018332715.1,113560,113560,True
10030731,GCF_018332955.1,217495,217495,False
1003081,GCF_900156915.1,1926277,1926277,False
10030851,GCF_018333155.1,54915,54915,True
10030861,GCF_018333175.1,557555,557555,True
10030891,GCF_018333235.1,545502,545502,False
10030911,GCF_018333255.1,2716884,2716884,False
10030941,GCF_018333315.1,116718,116718,False
10030951,GCF_018333335.1,237530,237530,False
10030971,GCF_018333375.1,157839,157839,False
1003171,GCF_900155615.1,1852384,1852384,True
10032341,GCF_018335475.1,442969,442969,False
1003271,GCF_900155555.1,1871012,1871012,False
1003391,GCF_900155685.1,1870990,1870990,True
1003411,GCF_900155635.1,1871033,1871033,True
1003581,GCF_900162695.1,480071,480071,False
10036501,GCF_018343795.1,2827233,2827233,False
1003671,GCF_900162815.1,1945520,1945520,False
10038231,GCF_902807005.1,2681469,2681469,True
10038241,GCF_902806995.1,2681470,2681470,True
1003931,GCF_900162825.1,1945521,1945521,False
1004141,GCF_900163965.1,1123498,184755,True
1004431,GCF_001995985.1,390883,390883,True
1004451,GCF_001996005.1,414286,414286,True
1004521,GCF_001996165.1,334715,334715,True
1004531,GCF_001996185.1,272773,51367,True
10046351,GCF_018362975.1,2055889,2055889,True
10046371,GCF_018363015.1,1795,1795,True
10046401,GCF_018363075.1,2100821,2100821,True
10046841,GCF_901485605.1,90730,90730,True
10048231,GCF_907165215.1,76633,76633,True
1005101,GCF_001997345.1,1332264,1332264,True
1005121,GCF_001997385.1,1940790,1940790,True
1005841,GCF_001998825.1,1908257,1908257,True
1005861,GCF_001998865.1,399497,399497,True
1005911,GCF_001998965.1,1908260,1908260,True
10060161,GCF_018380615.1,2133767,2133767,True
1006041,GCF_001999225.1,247523,247523,True
1006081,GCF_001999305.1,1907939,1907939,True
1006161,GCF_001999465.1,255247,255247,True
10062351,GCF_018383905.1,1114875,1114875,False
10062361,GCF_018122625.2,1776034,1776034,False
1006291,GCF_001999725.1,1888890,1888890,True
1006311,GCF_001999765.1,1531955,1531955,True
1006401,GCF_001999905.1,2213202,2213202,False
1006421,GCF_001999945.1,260552,260552,False
1006431,GCF_001999965.1,1851148,1851148,True
1006501,GCF_002000055.1,1792834,1792834,True
1006511,GCF_002000085.1,1911682,1911682,True
1006541,GCF_002000125.1,1908258,1908258,True
10065701,GCF_018389385.1,2778476,2857077,True
1006711,GCF_002000365.1,108003,108003,True
10067401,GCF_018390555.1,459519,459519,True
1006741,GCF_002000425.1,1908263,1908263,True
10067421,GCF_018390605.1,1282440,1282440,True
10067451,GCF_018390635.1,2579970,2579970,False
10067461,GCF_018390645.1,518825,518825,True
10067471,GCF_018390695.1,1937790,1937790,True
10067491,GCF_018390735.1,76009,76009,True
1006771,GCF_002000485.1,1906745,1906745,True
10067791,GCF_018394335.1,712036,712036,True
10071501,GCF_018398275.1,28210,28210,True
10071531,GCF_018398355.1,1743235,1743235,True
10071571,GCF_018398425.1,1424203,1424203,False
10071591,GCF_018398475.1,2056231,2056231,True
10071721,GCF_018398935.1,1123043,1123043,True
10073791,GCF_018403085.1,862114,862114,True
10073841,GCF_018403185.1,429341,429341,False
10073911,GCF_018403325.1,1476024,1476024,False
10073921,GCF_018403345.1,307580,307580,False
10074081,GCF_018403665.1,1658519,1658519,True
10074091,GCF_018403685.1,1572762,1572762,True
10074121,GCF_018403745.1,1281486,1281486,True
10074131,GCF_018403765.1,1652957,1652957,True
10075361,GCF_018406465.1,1796635,1796635,True
10075431,GCF_018406605.1,2675101,2675101,False
10075451,GCF_018406645.1,2675059,2675059,False
10076871,GCF_018409485.1,70346,70346,True
10076931,GCF_018409545.1,553982,553982,False
10079181,GCF_907163105.1,2004710,2004710,False
10079451,GCF_018415665.1,400946,400946,True
10082351,GCF_018420025.1,2789015,2789015,False
1008281,GCF_002003465.1,1674942,1674942,True
1008391,GCF_002003665.1,1539051,1539051,True
10084651,GCF_018424625.1,2571221,2571221,True
1009141,GCF_002005145.1,1833852,1833852,True
1009151,GCF_002005165.1,1471761,1471761,True
1009231,GCF_002005305.1,225848,225848,True
1009261,GCF_001940525.2,1915078,1915078,True
10096591,GCF_018448885.1,1004165,1004165,True
10096611,GCF_018448935.1,1208607,1208607,True
10096631,GCF_018448965.1,1004166,1004166,True
10097101,GCF_018449405.1,1237105,1237105,False
10097511,GCF_018454455.1,323653,323653,False
10097521,GCF_018454475.1,225363,225363,False
10098151,GCF_018457175.1,1591409,1591409,True
10099001,GCF_018459925.1,160826,160826,False
10100051,GCF_018467115.1,260915,260915,False
10100061,GCF_018467135.1,260917,260917,False
10110611,GCF_018476645.1,1549647,1549647,True
10110711,GCF_018476885.1,60036,60036,True
10110721,GCF_018476905.1,1114878,1114878,True
10116451,GCF_018491655.1,65958,65958,True
10116491,GCF_018491735.1,2748871,2748871,False
10116501,GCF_018491765.1,1774954,1774954,True
10118951,GCF_018494035.1,1544696,1544696,True
10118961,GCF_018494055.1,1544694,1544694,True
10118981,GCF_018494085.1,1544695,1544695,True
10120481,GCF_018499185.1,150054,102684,True
10121161,GCF_018500185.1,702568,702568,False
10121851,GCF_018501225.1,40983,40983,True
1012291,GCF_002005405.1,708126,708126,True
10123041,GCF_018501965.1,2282419,2282419,True
1012321,GCF_002005465.1,320497,320497,True
1012331,GCF_002005485.1,318683,318683,True
1012681,GCF_002006215.1,84029,84029,False
1012691,GCF_002006235.1,1551,1551,False
1012741,GCF_002006345.1,29367,29367,True
1012751,GCF_002006355.1,1121310,36839,False
1012951,GCF_002006755.1,1157986,1157986,True
1012961,GCF_002006795.1,1940240,1940240,True
1013061,GCF_002006995.1,1926881,1926881,True
1013391,GCF_002007645.1,1936003,1936003,True
10133971,GCF_018531165.1,155042,155042,True
10133991,GCF_018531195.1,44671,44671,True
1013711,GCF_002008225.1,1183413,1183413,False
1013761,GCF_002008345.1,1962263,1962263,True
10138181,GCF_007197895.2,2650157,2650157,True
10140631,GCF_018551565.1,271881,271881,True
1014091,GCF_002009015.1,927787,927787,True
10142001,GCF_018555315.1,2803379,2803379,False
1014201,GCF_002009235.1,1598147,1598147,True
10142111,GCF_018555685.1,1035067,1035067,False
1014231,GCF_002009295.1,265960,265960,True
1014341,GCF_001932995.2,622,622,True
1014611,GCF_002009735.1,183,183,True
1014671,GCF_002009845.1,100053,100053,True
10155091,GCF_018582665.1,859144,859144,True
1015901,GCF_000785105.2,1138822,1138822,True
10159771,GCF_018588945.1,69366,69366,True
10164571,GCF_018597265.1,2797506,2797506,True
10164601,GCF_018597345.1,2838947,2838947,True
10165561,GCF_018599245.1,1924933,1924933,False
10167751,GCF_018604145.1,171404,171404,False
10167921,GCF_018604565.1,41170,41170,True
1016831,GCF_002013915.1,1792845,1792845,True
10172441,GCF_018616605.1,74706,74706,True
1017261,GCF_002014765.1,90241,90241,True
1017291,GCF_002014825.1,470453,470453,True
1017301,GCF_002014855.1,573983,1288392,True
1017371,GCF_002014965.1,90239,90239,True
1017381,GCF_002014975.1,476,476,True
1017441,GCF_002015115.1,734,734,True
10182151,GCF_018642165.1,1035916,1035916,True
1018811,GCF_002017865.1,28066,28066,True
1018891,GCF_002018015.1,1943583,431041,False
1019081,GCF_001995095.2,966,966,True
1019501,GCF_002019225.1,86186,86186,True
1019691,GCF_002019595.1,1221450,1221450,True
1019701,GCF_002019605.1,427920,427920,True
1019711,GCF_002019635.1,930124,930124,True
1019721,GCF_002019645.1,304268,304268,True
1019731,GCF_002019665.1,79882,79882,False
1019741,GCF_002019695.1,79879,79879,True
1019751,GCF_002019705.1,228576,228576,True
1019921,GCF_002020135.1,1915077,1915077,True
1020031,GCF_002020355.1,1915319,1915319,True
1020261,GCF_002020805.1,1918948,1918948,False
1020291,GCF_002020875.1,642797,642797,False
1020411,GCF_002021095.1,1918949,1918949,False
1020481,GCF_002021235.1,2340,2340,False
1020651,GCF_002021565.1,1324314,1324314,True
10206941,GCF_018682675.1,592051,592051,True
1020731,GCF_002021755.1,696485,696485,True
10207901,GCF_018685455.1,2527775,2527775,True
1020801,GCF_002019735.1,76935,76935,True
1020811,GCF_002019795.1,1912214,1912214,True
1020821,GCF_002019765.1,290588,290588,False
1020851,GCF_002021945.1,1660067,1965231,True
1021141,GCF_002022465.1,33046,33046,False
1021201,GCF_900167275.1,180163,180163,True
1021211,GCF_900167365.1,1365950,1365950,True
1021221,GCF_900167155.1,1121868,504469,True
1021231,GCF_900167065.1,1121442,376490,True
1021241,GCF_900167095.1,64969,64969,True
1021291,GCF_900167115.1,39495,39495,True
1021311,GCF_900167605.1,1147123,1147123,False
1021321,GCF_900167375.1,118967,118967,True
1021331,GCF_900167105.1,29524,29524,True
1021371,GCF_900167085.1,42322,42322,True
1021381,GCF_900167455.1,225324,225324,False
1021391,GCF_900167405.1,1121925,136093,True
1021421,GCF_900167545.1,110935,110935,True
1021431,GCF_900167165.1,1121270,285110,True
1021481,GCF_900167135.1,634771,634771,True
1021491,GCF_900167055.1,1122188,435289,True
1021531,GCF_900167075.1,413434,413434,True
1021541,GCF_900167465.1,115783,115783,True
1021551,GCF_900167255.1,92487,92487,True
1021561,GCF_900167335.1,263852,263852,True
1021571,GCF_900167125.1,1121449,47158,True
1021651,GCF_900167205.1,290054,290054,True
1021671,GCF_900167035.1,171291,171291,True
1021691,GCF_900167475.1,1736691,1736691,True
1021711,GCF_900167185.1,142842,142842,True
1021721,GCF_900167535.1,48467,48467,True
1021731,GCF_900167325.1,1122219,39029,True
1021771,GCF_900167025.1,225004,225004,True
1021791,GCF_900167435.1,1122192,531310,False
1021821,GCF_900167515.1,759851,759851,False
1021831,GCF_900167145.1,261392,261392,True
