taxid,parent_taxid,name,rank,lineage_taxids,lineage,nchildren,ngenomes
2,0,Bacteria,superkingdom,2,Bacteria,38,11844
976,2,Bacteroidetes,phylum,"2, 976",Bacteria Bacteroidetes,7,1464
117743,976,Flavobacteriia,class,"2, 976, 117743",Bacteria Bacteroidetes Flavobacteriia,1,693
200644,117743,Flavobacteriales,order,"2, 976, 117743, 200644",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales,9,693
49546,200644,Flavobacteriaceae,family,"2, 976, 117743, 200644, 49546",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae,90,547
237,49546,Flavobacterium,genus,"2, 976, 117743, 200644, 49546, 237",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium,166,167
245,237,Flavobacterium aquatile,species,"2, 976, 117743, 200644, 49546, 237, 245",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium aquatile,0,1
983,237,Flavobacterium flevense,species,"2, 976, 117743, 200644, 49546, 237, 983",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium flevense,0,1
986,237,Flavobacterium johnsoniae,species,"2, 976, 117743, 200644, 49546, 237, 986",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium johnsoniae,0,1
991,237,Flavobacterium hydatis,species,"2, 976, 117743, 200644, 49546, 237, 991",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium hydatis,0,1
996,237,Flavobacterium columnare,species,"2, 976, 117743, 200644, 49546, 237, 996",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium columnare,0,1
29533,237,Flavobacterium pectinovorum,species,"2, 976, 117743, 200644, 49546, 237, 29533",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium pectinovorum,0,1
29534,237,Flavobacterium saccharophilum,species,"2, 976, 117743, 200644, 49546, 237, 29534",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium saccharophilum,0,1
29536,237,Flavobacterium succinicans,species,"2, 976, 117743, 200644, 49546, 237, 29536",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium succinicans,0,1
37752,237,Flavobacterium hibernum,species,"2, 976, 117743, 200644, 49546, 237, 37752",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium hibernum,0,1
55197,237,Flavobacterium branchiophilum,species,"2, 976, 117743, 200644, 49546, 237, 55197",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium branchiophilum,0,1
69322,237,Flavobacterium xanthum,species,"2, 976, 117743, 200644, 49546, 237, 69322",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium xanthum,0,1
96345,237,Flavobacterium psychrophilum,species,"2, 976, 117743, 200644, 49546, 237, 96345",Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium psychrophilum,0,1
