genus,species,ngenomes,ngroups,to_remove,nremaining
Rickettsia,typhi,3,1,2,1
Idiomarina,loihiensis,2,1,1,1
Hydrogenobacter,thermophilus,2,1,1,1
Lawsonia,intracellularis,2,1,1,1
Scardovia,inopinata,2,1,1,1
Atopobium,rimae,2,1,1,1
Rickettsia,slovaca,2,1,1,1
Kinetoplastibacterium,crithidii,2,1,1,1
Kinetoplastibacterium,blastocrithidii,2,1,1,1
Gordonia,hirsuta,2,1,1,1
Enterococcus,malodoratus,2,1,1,1
Enterococcus,sulfureus,2,1,1,1
Bacillus,wakoensis,2,1,1,1
Bacillus,hemicellulosilyticus,2,1,1,1
Bacillus,akibai,2,1,1,1
Bacillus,boroniphilus,2,1,1,1
Paenibacillus,pini,2,1,1,1
Chryseobacterium,oranimense,2,1,1,1
Legionella,massiliensis,2,1,1,1
Filomicrobium,marinum,2,1,1,1
Staphylococcus,condimenti,2,1,1,1
Nereida,ignava,2,1,1,1
Chlamydia,muridarum,15,3,10,5
Acetobacter,pasteurianus,12,1,6,6
Chlamydia,pneumoniae,10,1,5,5
Thermotoga,maritima,6,1,3,3
Parascardovia,denticolens,4,1,2,2
Rickettsia,parkeri,4,1,2,2
Clostridium,pasteurianum,4,1,2,2
Streptococcus,equi,243,34,119,124
Francisella,noatunensis,6,1,2,4
Streptococcus,intermedius,3,1,1,2
Acinetobacter,oleivorans,3,1,1,2
Arcobacter,lanthieri,3,1,1,2
Nautella,italica,3,1,1,2
Legionella,pneumophila,488,46,127,361
Francisella,tularensis,95,6,24,71
Francisella,philomiragia,8,1,2,6
Mycobacterium,smegmatis,8,1,2,6
Bifidobacterium,scardovii,4,1,1,3
Neisseria,elongata,4,1,1,3
Chlamydia,trachomatis,115,10,20,95
Bifidobacterium,dentium,6,1,1,5
Streptococcus,constellatus,6,1,1,5
Listeria,ivanovii,6,1,1,5
Corynebacterium,aurimucosum,6,1,1,5
Brucella,abortus,158,12,26,132
Listeria,monocytogenes,624,52,102,522
Neisseria,gonorrhoeae,326,22,46,280
Xanthomonas,citri,51,5,7,44
Streptococcus,pyogenes,249,12,33,216
Mycoplasma,pneumoniae,54,5,7,47
Salmonella,enterica,4650,161,580,4070
Campylobacter,jejuni,628,40,72,556
Enterococcus,casseliflavus,9,1,1,8
Bacteroides,uniformis,9,1,1,8
Bifidobacterium,animalis,28,2,3,25
Bacillus,atrophaeus,19,2,2,17
Elizabethkingia,anophelis,20,1,2,18
Anaplasma,phagocytophilum,21,2,2,19
Brucella,suis,44,3,4,40
Bartonella,henselae,11,1,1,10
Bacillus,pumilus,22,2,2,20
Mycoplasma,hominis,11,1,1,10
Burkholderia,diffusa,11,1,1,10
Mycobacterium,tuberculosis,3486,113,293,3193
Buchnera,aphidicola,12,1,1,11
Chlamydia,pecorum,12,1,1,11
Mycobacterium,abscessus,241,9,20,221
Bordetella,pertussis,327,4,27,300
Riemerella,anatipestifer,13,1,1,12
Mycobacterium,immunogenum,13,1,1,12
Aeromonas,veronii,27,2,2,25
Treponema,pallidum,14,1,1,13
Lactococcus,garvieae,14,1,1,13
Cronobacter,sakazakii,45,3,3,42
Streptococcus,suis,853,40,54,799
Bacillus,velezensis,16,1,1,15
Burkholderia,multivorans,17,1,1,16
Corynebacterium,glutamicum,17,1,1,16
Burkholderia,pseudomallei,392,15,23,369
Yersinia,pseudotuberculosis,40,2,2,38
Haemophilus,influenzae,109,5,5,104
Burkholderia,thailandensis,22,1,1,21
Moraxella,catarrhalis,23,1,1,22
Chlamydia,psittaci,48,2,2,46
Corynebacterium,diphtheriae,24,1,1,23
Bifidobacterium,bifidum,24,1,1,23
Helicobacter,pylori,487,12,20,467
Streptococcus,pneumoniae,7099,64,284,6815
Coxiella,burnetii,25,1,1,24
Pseudomonas,savastanoi,25,1,1,24
Bacillus,anthracis,103,3,4,99
Aeromonas,hydrophila,29,1,1,28
Fusobacterium,nucleatum,34,1,1,33
Corynebacterium,pseudotuberculosis,35,1,1,34
Aggregatibacter,actinomycetemcomitans,35,1,1,34
Pasteurella,multocida,36,1,1,35
Leptospira,borgpetersenii,36,1,1,35
Streptococcus,sobrinus,46,1,1,45
Vibrio,cholerae,437,9,9,428
Campylobacter,coli,257,4,5,252
Bifidobacterium,longum,55,1,1,54
Staphylococcus,aureus,6497,78,117,6380
Oenococcus,oeni,59,1,1,58
Burkholderia,cepacia,65,1,1,64
Leptospira,interrogans,262,4,4,258
Mycobacterium,bovis,66,1,1,65
Brucella,melitensis,66,1,1,65
Pseudomonas,aeruginosa,1547,7,21,1526
Bacillus,subtilis,75,1,1,74
Streptococcus,agalactiae,622,7,8,614
Lactobacillus,plantarum,83,1,1,82
Bacillus,cereus,196,2,2,194
Bacteroides,fragilis,99,1,1,98
Stenotrophomonas,maltophilia,100,1,1,99
Klebsiella,[Enterobacter] aerogenes,108,1,1,107
Yersinia,enterocolitica,140,1,1,139
Enterococcus,faecalis,433,2,2,431
Escherichia,coli,4221,11,17,4204
Serratia,marcescens,282,1,1,281
Staphylococcus,epidermidis,306,1,1,305
Enterococcus,faecium,412,1,1,411
Acinetobacter,baumannii,1277,1,1,1276
