curated_genus,curated_species,speciesname_standard_format,species_ngenomes,original_taxon_count,lca_taxid,lca_taxon_name,lca_taxon_rank,matched_name,matched_nametype,matched_speciesname_only,matched_taxid,matched_taxon_name,matched_taxon_rank,matched_taxon_unique
Acetobacter,aceti,True,3,2,435,Acetobacter aceti,species,Acetobacter aceti,primary,False,435,Acetobacter aceti,species,True
Acetobacter,cerevisiae,True,3,1,178900,Acetobacter cerevisiae,species,Acetobacter cerevisiae,primary,False,178900,Acetobacter cerevisiae,species,True
Acetobacter,orleanensis,True,2,2,104099,Acetobacter orleanensis,species,Acetobacter orleanensis,primary,False,104099,Acetobacter orleanensis,species,True
Acetobacter,pasteurianus,True,12,11,438,Acetobacter pasteurianus,species,Acetobacter pasteurianus,primary,False,438,Acetobacter pasteurianus,species,True
Acetobacter,pomorum,True,2,2,65959,Acetobacter pomorum,species,Acetobacter pomorum,primary,False,65959,Acetobacter pomorum,species,True
Acetobacter,tropicalis,True,4,1,104102,Acetobacter tropicalis,species,Acetobacter tropicalis,primary,False,104102,Acetobacter tropicalis,species,True
Achromobacter,piechaudii,True,3,3,72556,Achromobacter piechaudii,species,Achromobacter piechaudii,primary,False,72556,Achromobacter piechaudii,species,True
Achromobacter,xylosoxidans,True,18,5,85698,Achromobacter xylosoxidans,species,Achromobacter xylosoxidans,primary,False,85698,Achromobacter xylosoxidans,species,True
Acidaminococcus,intestini,True,2,2,187327,Acidaminococcus intestini,species,Acidaminococcus intestini,primary,False,187327,Acidaminococcus intestini,species,True
Acidiphilium,multivorum,True,2,1,926570,Acidiphilium multivorum AIU301,strain,Acidiphilium multivorum,primary,False,62140,Acidiphilium multivorum,species,True
Acidithiobacillus,caldus,True,2,2,33059,Acidithiobacillus caldus,species,Acidithiobacillus caldus,primary,False,33059,Acidithiobacillus caldus,species,True
Acidithiobacillus,ferrivorans,True,2,2,160808,Acidithiobacillus ferrivorans,species,Acidithiobacillus ferrivorans,primary,False,160808,Acidithiobacillus ferrivorans,species,True
