genus,species,taxid,ngenomes,action
Azospirillum,brasilense,1064539,1,remove
Mobiluncus,curtisii,887899,1,remove
Mycobacterium,intracellulare,1138383,1,remove
Pectobacterium,carotovorum,2778550,2,create
Pectobacterium,carotovorum,180957,22,create
Pectobacterium,carotovorum,78398,2,create
Pectobacterium,wasabiae,1905730,3,create
Photorhabdus,luminescens,2218628,2,create
Photorhabdus,temperata,230089,1,remove
Salinispora,pacifica,1137263,2,create
Salinispora,pacifica,1050199,3,create
Salinispora,pacifica,999544,2,create
Salinispora,pacifica,999545,3,create
Vibrio,alginolyticus,50719,3,create
Vibrio,tasmaniensis,693153,1,remove
Xanthomonas,campestris,56459,5,reassign
Xanthomonas,campestris,56448,13,reassign
