genus,species,taxid,method
Acetobacter,aceti,435,automatic
Acetobacter,cerevisiae,178900,automatic
Acetobacter,orleanensis,104099,automatic
Acetobacter,pasteurianus,438,automatic
Acetobacter,pomorum,65959,automatic
Acetobacter,tropicalis,104102,automatic
Achromobacter,piechaudii,72556,automatic
Achromobacter,xylosoxidans,85698,automatic
Acidaminococcus,intestini,187327,automatic
Acidiphilium,multivorum,62140,automatic
Acidithiobacillus,caldus,33059,automatic
Acidithiobacillus,ferrivorans,160808,automatic
Acidithiobacillus,ferrooxidans,920,automatic
Acidithiobacillus,thiooxidans,930,automatic
Acidovorax,avenae,80867,automatic
Acidovorax,citrulli,80869,automatic
Acidovorax,radicis,758826,automatic
Acinetobacter,baumannii,470,automatic
Acinetobacter,baylyi,202950,automatic
Acinetobacter,beijerinckii,262668,automatic
Acinetobacter,bereziniae,106648,automatic
Acinetobacter,bouvetii,202951,automatic
Acinetobacter,brisouii,396323,automatic
Acinetobacter,calcoaceticus,471,automatic
Acinetobacter,gerneri,202952,automatic
Acinetobacter,guillouiae,106649,automatic
Acinetobacter,gyllenbergii,134534,automatic
Acinetobacter,haemolyticus,29430,automatic
Acinetobacter,indicus,756892,automatic
Acinetobacter,johnsonii,40214,automatic
Acinetobacter,junii,40215,automatic
Acinetobacter,lwoffii,28090,automatic
Acinetobacter,nosocomialis,106654,automatic
Acinetobacter,oleivorans,1148157,automatic
Acinetobacter,parvus,134533,automatic
Acinetobacter,pittii,48296,automatic
Acinetobacter,radioresistens,40216,automatic
Acinetobacter,rudis,632955,automatic
Acinetobacter,schindleri,108981,automatic
Acinetobacter,soli,487316,automatic
Acinetobacter,tandoii,202954,automatic
Acinetobacter,tjernbergiae,202955,automatic
Acinetobacter,towneri,202956,automatic
Acinetobacter,ursingii,108980,automatic
Acinetobacter,venetianus,52133,automatic
Actinoalloteichus,cyanogriseus,65497,automatic
Actinobacillus,pleuropneumoniae,715,automatic
Actinobacillus,suis,716,automatic
Actinobaculum,massiliense,202789,automatic
Actinomyces,georgiae,52768,automatic
Actinomyces,graevenitzii,55565,automatic
Actinomyces,johnsonii,544581,automatic
Actinomyces,massiliensis,461393,automatic
Actinomyces,neuii,33007,automatic
Actinomyces,odontolyticus,1660,manual
Actinomyces,oris,544580,automatic
Actinomyces,urogenitalis,103621,automatic
Actinotignum,schaalii,59505,automatic
Aerococcus,christensenii,87541,automatic
Aerococcus,urinae,1376,automatic
Aerococcus,urinaeequi,51665,automatic
Aerococcus,viridans,1377,automatic
Aeromonas,allosaccharophila,656,automatic
Aeromonas,caviae,648,automatic
Aeromonas,dhakensis,196024,automatic
Aeromonas,diversa,502790,automatic
Aeromonas,enteropelogenes,29489,automatic
Aeromonas,hydrophila,644,automatic
Aeromonas,jandaei,650,automatic
Aeromonas,media,651,automatic
Aeromonas,salmonicida,645,automatic
Aeromonas,schubertii,652,automatic
Aeromonas,taiwanensis,633417,automatic
Aeromonas,veronii,654,automatic
Aggregatibacter,actinomycetemcomitans,714,automatic
Aggregatibacter,aphrophilus,732,automatic
Agrobacterium,tumefaciens,358,automatic
Akkermansia,muciniphila,239935,automatic
Alcaligenes,faecalis,511,automatic
Algibacter,lectus,221126,automatic
Alicycliphilus,denitrificans,179636,automatic
Aliivibrio,fischeri,668,automatic
Aliivibrio,wodanis,80852,automatic
Altererythrobacter,marensis,543877,automatic
Alteromonas,australica,589873,automatic
Alteromonas,macleodii,28108,automatic
Alteromonas,mediterranea,314275,automatic
Alteromonas,stellipolaris,233316,automatic
Amycolatopsis,mediterranei,33910,automatic
Amycolatopsis,methanolica,1814,automatic
Amycolatopsis,regifaucium,546365,automatic
Amycolatopsis,vancoresmycina,208444,automatic
Anaerococcus,hydrogenalis,33029,automatic
Anaerococcus,lactolyticus,33032,automatic
Anaerococcus,tetradius,33036,automatic
Anaerostipes,hadrus,649756,automatic
Anaplasma,marginale,770,automatic
Anaplasma,phagocytophilum,948,automatic
Aneurinibacillus,migulanus,47500,automatic
Anoxybacillus,gonensis,198467,automatic
Aphanizomenon,flos-aquae,1176,automatic
Arcobacter,butzleri,28197,automatic
Arcobacter,lanthieri,1355374,automatic
Ardenticatena,maritima,872965,automatic
Arenimonas,composti,370776,automatic
Arenimonas,oryziterrae,498055,automatic
Arthrospira,platensis,118562,automatic
Asticcacaulis,benevestitus,347481,automatic
Atopobium,minutum,1381,automatic
Atopobium,rimae,1383,automatic
Atopobium,vaginae,82135,automatic
Aurantimonas,coralicida,182270,automatic
Aurantimonas,manganoxydans,651183,automatic
Aureimonas,ureilytica,401562,automatic
Avibacterium,paragallinarum,728,automatic
Azospirillum,brasilense,192,manual
Azospirillum,thiophilum,528244,automatic
Azotobacter,vinelandii,354,automatic
Bacillus,akibai,1411,automatic
Bacillus,amyloliquefaciens,1390,automatic
Bacillus,anthracis,1392,automatic
Bacillus,aryabhattai,412384,automatic
Bacillus,atrophaeus,1452,automatic
Bacillus,azotoformans,1454,automatic
Bacillus,badius,1455,automatic
Bacillus,boroniphilus,308892,automatic
Bacillus,cereus,1396,automatic
Bacillus,circulans,1397,automatic
Bacillus,clausii,79880,automatic
Bacillus,coagulans,1398,automatic
Bacillus,coahuilensis,408580,automatic
Bacillus,cytotoxicus,580165,automatic
Bacillus,endophyticus,135735,automatic
Bacillus,firmus,1399,automatic
Bacillus,gaemokensis,574375,automatic
Bacillus,ginsengihumi,363870,automatic
Bacillus,glycinifermentans,1664069,automatic
Bacillus,hemicellulosilyticus,127886,automatic
Bacillus,licheniformis,1402,automatic
Bacillus,marisflavi,189381,automatic
Bacillus,megaterium,1404,automatic
Bacillus,methanolicus,1471,automatic
Bacillus,mojavensis,72360,automatic
Bacillus,mycoides,1405,automatic
Bacillus,nakamurai,1793963,automatic
Bacillus,paralicheniformis,1648923,automatic
Bacillus,pumilus,1408,automatic
Bacillus,safensis,561879,automatic
Bacillus,siamensis,659243,automatic
Bacillus,smithii,1479,automatic
Bacillus,sonorensis,119858,automatic
Bacillus,subtilis,1423,automatic
Bacillus,thermoamylovorans,35841,automatic
Bacillus,thuringiensis,1428,automatic
Bacillus,trypoxylicola,519424,automatic
Bacillus,velezensis,492670,automatic
Bacillus,vietnamensis,218284,automatic
Bacillus,vireti,220686,automatic
Bacillus,wakoensis,127891,automatic
Bacillus,weihenstephanensis,1405,automatic
Bacteroides,barnesiae,376804,automatic
Bacteroides,caccae,47678,automatic
Bacteroides,cellulosilyticus,246787,automatic
Bacteroides,coprophilus,387090,automatic
Bacteroides,dorei,357276,automatic
Bacteroides,eggerthii,28111,automatic
Bacteroides,finegoldii,338188,automatic
Bacteroides,fragilis,817,automatic
Bacteroides,gallinarum,376806,automatic
Bacteroides,graminisolvens,477666,automatic
Bacteroides,intestinalis,329854,automatic
Bacteroides,massiliensis,204516,automatic
Bacteroides,nordii,291645,automatic
Bacteroides,ovatus,28116,automatic
Bacteroides,propionicifaciens,392838,automatic
Bacteroides,pyogenes,310300,automatic
Bacteroides,salyersiae,291644,automatic
Bacteroides,stercoris,46506,automatic
Bacteroides,thetaiotaomicron,818,automatic
Bacteroides,uniformis,820,automatic
Bacteroides,vulgatus,821,automatic
Bacteroides,xylanisolvens,371601,automatic
Bartonella,bacilliformis,774,automatic
Bartonella,birtlesii,111504,automatic
Bartonella,bovis,155194,automatic
Bartonella,clarridgeiae,56426,automatic
Bartonella,doshiae,33044,automatic
Bartonella,elizabethae,807,automatic
Bartonella,grahamii,33045,automatic
Bartonella,henselae,38323,automatic
Bartonella,quintana,803,automatic
Bartonella,rattimassiliensis,270250,automatic
Bartonella,tamiae,373638,automatic
Bartonella,tribocorum,85701,automatic
Bartonella,vinsonii,33047,automatic
Bartonella,washoensis,186739,automatic
Bellilinea,caldifistulae,360411,automatic
Bergeyella,zoohelcum,1015,automatic
Bibersteinia,trehalosi,47735,automatic
Bifidobacterium,actinocoloniiforme,638619,automatic
Bifidobacterium,adolescentis,1680,automatic
Bifidobacterium,angulatum,1683,automatic
Bifidobacterium,animalis,28025,automatic
Bifidobacterium,biavatii,762212,automatic
Bifidobacterium,bifidum,1681,automatic
Bifidobacterium,bohemicum,638617,automatic
Bifidobacterium,bombi,471511,automatic
Bifidobacterium,boum,78343,automatic
Bifidobacterium,breve,1685,automatic
Bifidobacterium,callitrichos,762209,automatic
Bifidobacterium,catenulatum,1686,automatic
Bifidobacterium,choerinum,35760,automatic
Bifidobacterium,coryneforme,1687,automatic
Bifidobacterium,cuniculi,1688,automatic
Bifidobacterium,dentium,1689,automatic
Bifidobacterium,gallicum,78342,automatic
Bifidobacterium,gallinarum,78344,automatic
Bifidobacterium,indicum,1691,automatic
Bifidobacterium,kashiwanohense,630129,automatic
Bifidobacterium,longum,216816,automatic
Bifidobacterium,magnum,1692,automatic
Bifidobacterium,merycicum,78345,automatic
Bifidobacterium,minimum,1693,automatic
Bifidobacterium,mongoliense,518643,automatic
Bifidobacterium,pseudocatenulatum,28026,automatic
Bifidobacterium,pseudolongum,1694,automatic
Bifidobacterium,psychraerophilum,218140,automatic
Bifidobacterium,reuteri,983706,automatic
Bifidobacterium,ruminantium,78346,automatic
Bifidobacterium,saeculare,78257,automatic
Bifidobacterium,saguini,762210,automatic
Bifidobacterium,scardovii,158787,automatic
Bifidobacterium,subtile,77635,automatic
Bifidobacterium,thermacidophilum,246618,automatic
Bifidobacterium,thermophilum,33905,automatic
Bifidobacterium,tsurumiense,356829,automatic
Bilophila,wadsworthia,35833,automatic
Blastochloris,viridis,1079,automatic
Blautia,[Ruminococcus] gnavus,33038,automatic
