sp_idx,sp_name,sp_ngenomes,ngroups,n_to_remove,frac_to_remove,sp_needs_remove
982,Streptococcus pneumoniae,7099,64,284,0.04000563459642203,false
439,Salmonella enterica,4650,161,580,0.12473118279569892,false
1302,Mycobacterium tuberculosis,3574,114,294,0.08226077224398433,false
988,Streptococcus equi,243,34,119,0.4897119341563786,false
312,Legionella pneumophila,488,46,127,0.26024590163934425,false
381,Bordetella pertussis,327,4,27,0.08256880733944955,false
983,Streptococcus pyogenes,249,12,33,0.13253012048192772,false
165,Francisella tularensis,95,6,24,0.25263157894736843,false
1201,Listeria monocytogenes,624,52,102,0.16346153846153846,false
178,Pseudomonas aeruginosa,1547,7,21,0.013574660633484163,false
616,Chlamydia trachomatis,115,10,20,0.17391304347826086,false
146,Brucella abortus,158,12,26,0.16455696202531644,false
357,Neisseria gonorrhoeae,326,22,46,0.1411042944785276,false
299,Acetobacter pasteurianus,12,1,6,0.5,false
424,Escherichia coli,4221,11,17,0.0040274816394219376,false
116,Campylobacter jejuni,628,40,72,0.11464968152866242,false
922,Staphylococcus aureus,6497,78,117,0.01800831152839772,false
954,Burkholderia pseudomallei,392,15,23,0.058673469387755105,false
620,Chlamydia muridarum,15,3,10,0.6666666666666666,false
127,Helicobacter pylori,487,12,20,0.04106776180698152,false
977,Streptococcus suis,853,40,54,0.06330597889800703,false
619,Chlamydia pneumoniae,10,1,5,0.5,false
644,Mycobacteroides abscessus,241,9,20,0.08298755186721991,false
213,Thermotoga maritima,6,1,3,0.5,false
243,Xanthomonas citri,69,5,7,0.10144927536231885,false
32,Mycoplasma pneumoniae,54,5,7,0.12962962962962962,false
1054,Bacillus anthracis,103,3,4,0.038834951456310676,false
1152,Parascardovia denticolens,4,1,2,0.5,false
152,Brucella suis,44,3,4,0.09090909090909091,false
597,Rickettsia typhi,3,1,2,0.6666666666666666,true
1239,Bifidobacterium animalis,28,2,3,0.10714285714285714,false
845,Mycolicibacterium smegmatis,8,1,2,0.25,false
1129,Clostridium pasteurianum,4,1,2,0.5,false
166,Francisella philomiragia,8,1,2,0.25,false
605,Rickettsia parkeri,4,1,2,0.5,false
167,Francisella orientalis,6,1,2,0.3333333333333333,false
114,Campylobacter coli,257,4,5,0.019455252918287938,false
980,Streptococcus agalactiae,622,7,8,0.012861736334405145,false
1216,Elizabethkingia anophelis,20,1,2,0.1,false
962,Burkholderia multivorans,17,1,1,0.058823529411764705,false
503,Vibrio cholerae,440,9,9,0.020454545454545454,false
720,Hydrogenobacter thermophilus,2,1,1,0.5,true
1121,Buchnera aphidicola,12,1,1,0.08333333333333333,false
617,Chlamydia psittaci,48,2,2,0.041666666666666664,false
1064,Bacillus atrophaeus,19,2,2,0.10526315789473684,false
979,Streptococcus sobrinus,46,1,1,0.021739130434782608,false
695,Fusobacterium nucleatum,34,1,1,0.029411764705882353,false
607,Rickettsia slovaca,2,1,1,0.5,true
1007,Riemerella anatipestifer,13,1,1,0.07692307692307693,false
1260,Corynebacterium diphtheriae,24,1,1,0.041666666666666664,false
1028,Enterococcus casseliflavus,9,1,1,0.1111111111111111,false
868,Oenococcus oeni,59,1,1,0.01694915254237288,false
566,Lawsonia intracellularis,2,1,1,0.5,true
211,Candidatus Kinetoplastibacterium crithidii,2,1,1,0.5,true
212,Candidatus Kinetoplastibacterium blastocrithidii,2,1,1,0.5,true
150,Brucella melitensis,66,1,1,0.015151515151515152,false
287,Idiomarina loihiensis,2,1,1,0.5,true
1261,Corynebacterium glutamicum,17,1,1,0.058823529411764705,false
1029,Enterococcus malodoratus,2,1,1,0.5,true
1021,Enterococcus sulfureus,2,1,1,0.5,true
1037,Lactococcus garvieae,14,1,1,0.07142857142857142,false
88,Treponema pallidum,14,1,1,0.07142857142857142,false
989,Streptococcus intermedius,3,1,1,0.3333333333333333,false
8,Gordonia hirsuta,2,1,1,0.5,true
575,Anaplasma phagocytophilum,21,2,2,0.09523809523809523,false
997,Streptococcus constellatus,6,1,1,0.16666666666666666,false
