id,name,is_root,ngenomes,nleaves,diameter,threshold,max_leaf_threshold,min_inter_src_id,min_inter_src_name,min_inter_dst_id,min_inter_dst_name,min_inter_dist,noverlaps,dst_taxa,dst_genera
1,Mobiluncus,true,7,2,0.99180126,0.99180126,0.58687973,1106,Mobiluncus mulieris,1688,Actinobaculum massiliense,0.9878954,3,2,2
2,Gordonia,true,12,5,0.9789365,0.9789365,0.4430138,1794,Gordonia amicalis,1478,Nocardia farcinica,0.9745936,72,29,9
3,Meiothermus,true,4,1,0.2079285,0.2079285,0.2079285,540,Meiothermus ruber,1868,Thermus oshimai,0.98535514,0,0,0
4,Kitasatospora,true,6,2,0.9470835,0.9470835,0.4793937,1079,Kitasatospora aureofaciens,1206,Streptomyces pyridomyceticus,0.8617246,4,2,1
5,Shewanella,true,18,4,0.9955059,0.9955059,0.59344506,467,Shewanella putrefaciens,1460,Salmonella enterica,0.99322957,77,72,24
6,Sporolactobacillus,true,4,2,0.9952208,0.9952208,0.33225095,1118,Sporolactobacillus vineae,577,Neorhizobium galegae,0.9954239,0,0,0
7,Dyella,true,2,1,0.0062548867,0.0062548867,0.0062548867,1110,Dyella japonica,1276,Rhodanobacter denitrificans,0.98204195,0,0,0
8,Myxococcus,true,3,1,0.012629652,0.012629652,0.012629652,470,Myxococcus xanthus,471,Stigmatella aurantiaca,0.96385735,0,0,0
9,Stigmatella,true,2,1,0.012571359,0.012571359,0.012571359,471,Stigmatella aurantiaca,470,Myxococcus xanthus,0.96385735,0,0,0
10,Mycoplasma,true,161,23,1.0,1.0,0.6792691,1111,Mycoplasma arginini,722,Chlamydia trachomatis,0.78895706,32706,1422,453
11,Candidatus Portiera,true,5,1,0.04109589,0.04109589,0.04109589,1030,Candidatus Portiera aleyrodidarum,464,Buchnera aphidicola,0.995471,0,0,0
12,Thalassobius,true,2,1,0.023280092,0.023280092,0.023280092,1438,Thalassobius mediterraneus,1700,Phaeobacter italicus,0.98434055,0,0,0
13,Flavonifractor,true,2,1,0.47705576,0.47705576,0.47705576,1683,Flavonifractor plautii,1294,Intestinimonas butyriciproducens,0.9629976,0,0,0
14,Lysobacter,true,7,3,0.9836249,0.9836249,0.4800668,1733,Lysobacter defluvii,1309,Pseudoxanthomonas suwonensis,0.9736541,21,8,4
15,Fructobacillus,true,3,1,0.011296396,0.011296396,0.011296396,988,Fructobacillus fructosus,800,Leuconostoc pseudomesenteroides,0.99469227,0,0,0
16,Caulobacter,true,4,2,0.9560158,0.9560158,0.21627516,1398,Caulobacter henricii,550,Brevundimonas diminuta,0.9767677,0,0,0
17,Jeotgalibaca,true,2,1,0.24565972,0.24565972,0.24565972,1370,Jeotgalibaca dankookensis,1259,Enterococcus dispar,0.994287,0,0,0
18,Ureaplasma,true,20,2,0.8897143,0.8897143,0.30825242,1134,Ureaplasma urealyticum,528,Anaerococcus hydrogenalis,0.9758441,0,0,0
19,Spiroplasma,true,4,2,0.9862934,0.9862934,0.13623978,1136,Spiroplasma melliferum,598,Neisseria gonorrhoeae,0.98681056,0,0,0
20,Pantoea,true,50,5,0.9992281,0.9992281,0.5976469,1175,Pantoea dispersa,1525,Enterobacter ludwigii,0.9424508,6034,1436,453
21,Cupriavidus,true,12,3,0.971282,0.971282,0.60699534,1474,Cupriavidus metallidurans,1387,Achromobacter xylosoxidans,0.9751524,0,0,0
22,Nitratireductor,true,2,1,0.40932602,0.40932602,0.40932602,1900,Nitratireductor aquibiodomus,1761,Mesorhizobium ciceri,0.9813103,0,0,0
23,Schaalia,true,4,2,0.9718252,0.9718252,0.46645188,1003,Schaalia odontolytica,829,Kytococcus sedentarius,0.9273399,2,1,1
24,Oligella,true,2,1,0.4133103,0.4133103,0.4133103,480,Oligella urethralis,1197,Taylorella asinigenitalis,0.996656,0,0,0
25,Borrelia,true,18,6,0.9782766,0.9782766,0.7023681402206421,482,Borrelia hermsii,1564,Borreliella garinii,0.98641086,0,0,0
26,Richelia,true,2,1,0.64772534,0.64772534,0.64772534,1029,Richelia intracellularis,1213,Dolichospermum circinale,0.9948507,0,0,0
27,Eggerthella,true,2,1,0.26961666,0.26961666,0.26961666,1146,Eggerthella lenta,1376,Amycolatopsis vancoresmycina,0.9840475,0,0,0
28,Paenarthrobacter,true,2,1,0.31771094,0.31771094,0.31771094,1507,Paenarthrobacter nicotinovorans,1086,Streptomyces hygroscopicus,0.987777,0,0,0
29,Spirochaeta,true,2,1,0.65222996,0.65222996,0.65222996,489,Spirochaeta thermophila,1094,Nocardiopsis dassonvillei,0.99566513,0,0,0
30,Rodentibacter,true,2,1,0.0076923077,0.0076923077,0.0076923077,706,Rodentibacter pneumotropicus,693,Haemophilus influenzae,0.9765163,0,0,0
31,Kocuria,true,10,2,0.98080635,0.98080635,0.8660918,1716,Kocuria palustris,1593,Rothia kristinae,0.9761768,5,3,3
32,Collimonas,true,4,2,0.955429,0.955429,0.44918007,636,Collimonas pratensis,752,Herbaspirillum seropedicae,0.98118806,0,0,0
33,Kytococcus,true,2,1,0.57459503,0.57459503,0.57459503,829,Kytococcus sedentarius,1003,Schaalia odontolytica,0.9273399,0,0,0
34,Treponema,true,42,6,0.9987957,0.9987957,0.7657359,1450,Treponema socranskii,1400,Burkholderia pseudomallei,0.99398285,4521,1411,443
35,Catabacter,true,2,1,0.33827025,0.33827025,0.33827025,494,Catabacter hongkongensis,1275,Streptococcus constellatus,0.9941222,0,0,0
