description,nuccore_uid,nuccore_accession,nuccore_dead,assembly_uid,assembly_acc
Klebsiella pneumoniae subsp. pneumoniae KPNIH1,397353112,AJZU00000000.1,True,195541,GCF_000281535.2
Klebsiella pneumoniae subsp. pneumoniae KPNIH2,397354287,AJZV00000000.1,False,483768,GCF_000281255.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH4,397355668,AJZW00000000.1,False,483788,GCF_000281395.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH5,397370284,AJZX00000000.1,False,483808,GCF_000281275.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH6,397369039,AJZY00000000.1,False,483828,GCF_000281295.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH7,397373171,AJZZ00000000.1,False,483848,GCF_000281415.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH8,397386429,AKAA00000000.1,False,483868,GCF_000281555.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH9,397382588,AKAB00000000.1,False,483888,GCF_000281315.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH10,397390985,AKAC00000000.1,True,180811,GCF_000281435.2
Klebsiella pneumoniae subsp. pneumoniae KPNIH11,397400464,AKAD00000000.1,False,483928,GCF_000281575.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH12,397403041,AKAE00000000.1,False,483948,GCF_000281335.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH14,397408343,AKAF00000000.1,False,483968,GCF_000281455.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH16,397419569,AKAG00000000.1,False,483988,GCF_000281595.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH17,397419131,AKAH00000000.1,False,484008,GCF_000281355.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH18,397425627,AKAI00000000.1,False,484028,GCF_000281475.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH19,397437495,AKAJ00000000.1,False,484048,GCF_000281615.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH20,397434835,AKAK00000000.1,False,484068,GCF_000281375.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH21,397443111,AKAL00000000.1,False,484088,GCF_000281495.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH22,397448720,AKAM00000000.1,False,484108,GCF_000281515.1
Klebsiella pneumoniae subsp. pneumoniae KPNIH23,397453556,AKAN00000000.1,False,484128,GCF_000281635.1
