taxid,parent_taxid,name,rank
386585,83334,Escherichia coli O157:H7 str. Sakai,strain
187410,632,Yersinia pestis KIM10+,strain
282459,1280,Staphylococcus aureus subsp. aureus MSSA476,strain
208964,287,Pseudomonas aeruginosa PAO1,strain
218496,2039,Tropheryma whipplei TW08/27,strain
242231,485,Neisseria gonorrhoeae FA 1090,strain
122586,491,Neisseria meningitidis MC58,strain
216895,672,Vibrio vulnificus CMCP6,strain
226900,1396,Bacillus cereus ATCC 14579,strain
160488,303,Pseudomonas putida KT2440,strain
198466,301448,Streptococcus pyogenes MGAS315,strain
85962,210,Helicobacter pylori 26695,strain
1207470,301447,Streptococcus pyogenes M1 476,strain
211110,216495,Streptococcus agalactiae NEM316,strain
446,445,Legionella pneumophila,species
90370,59201,Salmonella enterica subsp. enterica serovar Typhi,no rank
1765,1773,Mycobacterium tuberculosis variant bovis,biotype
196620,1280,Staphylococcus aureus subsp. aureus MW2,strain
1764,120793,Mycobacterium avium,species
170187,1313,Streptococcus pneumoniae TIGR4,strain
190485,340,Xanthomonas campestris pv. campestris str. ATCC 33913,strain
223283,323,Pseudomonas syringae pv. tomato str. DC3000,strain
158879,1280,Staphylococcus aureus subsp. aureus N315,strain
28450,111527,Burkholderia pseudomallei,species
155864,83334,Escherichia coli O157:H7 str. EDL933,strain
272944,781,Rickettsia conorii str. Malish 7,strain
176279,1282,Staphylococcus epidermidis RP62A,strain
630,629,Yersinia enterocolitica,species
199310,562,Escherichia coli CFT073,strain
195102,1502,Clostridium perfringens str. 13,strain
214092,632,Yersinia pestis CO92,strain
224914,644337,Brucella melitensis bv. 1 str. 16M,strain
198214,42897,Shigella flexneri 2a str. 301,strain
511145,83333,Escherichia coli str. K-12 substr. MG1655,no rank
1234662,385964,Yersinia pestis subsp. pestis bv. Medievalis,no rank
257313,520,Bordetella pertussis Tohama I,isolate
160492,2371,Xylella fastidiosa 9a5c,strain
186103,301451,Streptococcus pyogenes MGAS8232,strain
222523,1396,Bacillus cereus ATCC 10987,strain
297246,446,Legionella pneumophila str. Paris,strain
13373,111527,Burkholderia mallei,species
204722,29461,Brucella suis 1330,strain
288681,1396,Bacillus cereus E33L,strain
218493,54736,Salmonella bongori NCTC 12419,strain
1282,1279,Staphylococcus epidermidis,species
1208660,519,Bordetella parapertussis Bpp5,strain
158878,1280,Staphylococcus aureus subsp. aureus Mu50,strain
122587,65699,Neisseria meningitidis Z2491,strain
208435,216466,Streptococcus agalactiae 2603V/R,strain
554,122277,Pectobacterium carotovorum,species
196600,672,Vibrio vulnificus YJ016,strain
282458,1280,Staphylococcus aureus subsp. aureus MRSA252,strain
1309,1301,Streptococcus mutans,species
1304892,53413,Xanthomonas axonopodis Xac29-1,strain
85963,210,Helicobacter pylori J99,strain
203267,2039,Tropheryma whipplei str. Twist,strain
198215,42897,Shigella flexneri 2a str. 2457T,strain
99287,90371,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,strain
272831,135720,Neisseria meningitidis FAM18,strain
171101,1313,Streptococcus pneumoniae R6,strain
209261,90370,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,strain
297245,446,Legionella pneumophila str. Lens,strain
183190,2371,Xylella fastidiosa Temecula1,strain
257310,518,Bordetella bronchiseptica RB50,strain
261594,1392,Bacillus anthracis str. 'Ames Ancestor',strain
83331,1773,Mycobacterium tuberculosis CDC1551,strain
195103,1502,Clostridium perfringens ATCC 13124,strain
193567,301448,Streptococcus pyogenes SSI-1,strain
1105094,782,Rickettsia prowazekii str. Chernikova,strain
83332,1773,Mycobacterium tuberculosis H37Rv,strain
216466,1311,Streptococcus agalactiae serogroup V,serogroup
632,1649845,Yersinia pestis,species
1502,1485,Clostridium perfringens,species
518,517,Bordetella bronchiseptica,species
59201,28901,Salmonella enterica subsp. enterica,subspecies
562,561,Escherichia coli,species
520,517,Bordetella pertussis,species
90371,59201,Salmonella enterica subsp. enterica serovar Typhimurium,no rank
65699,487,Neisseria meningitidis serogroup A,serogroup
135720,487,Neisseria meningitidis serogroup C,serogroup
122277,1903410,Pectobacterium,genus
120793,1763,Mycobacterium avium complex (MAC),species group
782,114292,Rickettsia prowazekii,species
629,1903411,Yersinia,genus
1773,77643,Mycobacterium tuberculosis,species
485,482,Neisseria gonorrhoeae,species
