set,id,fasta_file,fasta_md5,fastq_md5
200726,16AC1611137-CAP,16AC1611137-CAP_S12_L001_R1_001 Assembly Contigs.fasta,ea1dc499ffd53b97c5d72845efbd4361,94147c719ac6aad3aea463de8296cdcd
200726,16AC1611138-CAP,16AC1611138-CAP_S13_L001_R1_001 Assembly Contigs.fasta,3aae403d6abebb2d35b8504b52a7572f,a6c90b0142cc484a4bf39974c4421961
200726,16AC1611139-CAP,16AC1611139-CAP_S14_L001_R1_001 Assembly Contigs.fasta,4c2c1b0df022346e2a32969f683f7f09,e6e42e19f2d0ad1da3784a514f61344f
200726,16AC1611140-CAP,16AC1611140-CAP_S15_L001_R1_001 Assembly Contigs.fasta,b74376fd999c1b9f3615378a6cb5f5ba,f795711b8fd2191e1b42bcd4fd760985
200726,16AC1611141-CAP,16AC1611141-CAP_S16_L001_R1_001 Assembly Contigs.fasta,039902a398dceadf0055563bfa7f553f,73239858c249f0c0fda76af5dd53c651
200726,17AC0001408,17AC0001408_S7_L001_R1_001 Assembly Contigs.fasta,cf649fb10b6fd1cb70747b6c74e7a6b2,ab1a16359a23c909cd4ad9f7cf7f0e55
200726,17AC0001409,17AC0001409_S8_L001_R1_001 Assembly Contigs.fasta,8e84e89a1afd772300401de276f82ebf,8a9d0e1efa39c39fe12a11aebfd679d7
200726,17AC0001410,17AC0001410_S9_L001_R1_001 Assembly Contigs.fasta,60502a0bac81082a87c66ce60f38d2e5,a7212ab56e8f41b835414460af69fcc7
200726,17AC0001410A,17AC0001410A_S12_L001_R1_001 Assembly Contigs.fasta,57aada15a4a54f8072e17759a74b826c,c2720b985033dc14ea5fbb19d3b5b15a
200726,17AC0001410B,17AC0001410B_S13_L001_R1_001 Assembly Contigs.fasta,fe74616ecec20f6399380670d6107303,33b2aafb1c6ef204a5c088fa3c9f8358
200726,17AC0001411B,17AC0001411B_S10_L001_R1_001 Assembly Contigs.fasta,3212593a8e873ac9f1b130ac0126ce18,ae5064bdcaa2c7f0a332ed67cd60b98f
200726,17AC0001412BR,17AC0001412BR_S12_L001_R1_001 Assembly Contigs.fasta,5f7aa2f597b4001ea18554134df832df,007ba82318cb7326153caeb5df11edbc
200726,17AC0003892A,17AC0003892A_S1_L001_R1_001 Assembly Contigs.fasta,76aab33e0e9536588c461201422022a8,bc7f40e26ecb0ec21a2aa4a287a436b0
200726,17AC0003892B,17AC0003892B_S2_L001_R1_001 Assembly Contigs.fasta,0705a6dc46ea500ab239780bb85427da,4bd786c4ec8374281e3cbb3081a2276d
200726,17AC0003893,17AC0003893_S1_L001_R1_001 Assembly Contigs.fasta,38356d3ca217b20a6ede5bc9fba08483,0e03889891f425b461f39f1bc9e892c3
200726,17AC0003894N,17AC0003894N_S2_L001_R1_001 Assembly Contigs.fasta,5340006483b93793a713a232f0ecea7a,079537b01ad49e3bbd33003bf321ebf6
200726,17AC0006310,17AC0006310_S6_L001_R1_001 Assembly Contigs.fasta,1335e96674bfdf81085ea35c679b88cf,058f36a323c30e07d168225098322561
200726,17AC0006311,17AC0006311_S7_L001_R1_001 Assembly Contigs.fasta,2a587a7c34d8a35fc5badf0d6fef684c,162aa696e2e8ca935e183aad42e0a8ec
200726,17AC0006312,17AC0006312_S8_L001_R1_001 Assembly Contigs.fasta,5e6fd6a5fa7d4b3b843b302c679da680,3f6784797cca7e46239a816c68b7e5e8
200726,17AC0006313A,17AC0006313A_S9_L001_R1_001 Assembly Contigs.fasta,a43037c6e150e8dca10e1ef57fa94522,0bd9c8f25ce24193ceb1bd5462e21ce0
200726,17AC0006313ANBLD,17AC0006313ANBLD_S10_L001_R1_001 Assembly Contigs.fasta,12883160aadac2ccf3149b869f2d5349,acb8cb789946626cf757a810dfe10319
200726,17AC0006314,17AC0006314_S11_L001_R1_001 Assembly Contigs.fasta,09e0b6d1cbe5d9611caf36e33fe00e9c,3263158420986c49286c9a9e9ec2dd2b
200726,17AC0012455-1A,17AC0012455-1A_S1_L001_R1_001 Assembly Contigs.fasta,ccbaf4143c0db2bed2825a8f630f4ee9,686db12b6e966a96d2d5d236d512da0a
200726,17AC0012455-1AN,17AC0012455-1AN_S5_L001_R1_001 Assembly Contigs.fasta,c2d8a999b456d291bcdbc0b103c2bf49,39ada8c8cecb4a4a3e903614a7162807
200726,18AC0002827,18AC0002827_S7_L001_R1_001 Assembly Contigs.fasta,133a5cf2b7dbdc223e08c5929c609934,7fe898e4048047c260496e50d4191567
200726,18AC0002828,18AC0002828_S12_L001_R1_001 Assembly Contigs.fasta,e49aeada56924f6684969f0891517328,5ee5f020f58134ce1ae0a553a2431adc
200726,18AC0007008CHO,18AC0007008CHO_S3_L001_R1_001 Assembly Contigs.fasta,4f85ca79c7f78292ec5a5e4b6307aba0,078e22ae2749ac02a5620c40ce6b7884
200726,18AC0007009CHO,18AC0007009CHO_S5_L001_R1_001 Assembly Contigs.fasta,86c578f73c8eea527509438b2c588d2b,9953b552f3280fd684ef75e343ba37c2
200726,18AC0007010CHO,18AC0007010CHO_S7_L001_R1_001 Assembly Contigs.fasta,9667e9c140520f372644061a055a6de0,69681157863c7430d18a89e139e4d339
200726,18AC0012150R,18AC0012150R_S3_L001_R1_001 Assembly Contigs.fasta,a9ade11caf8842e1d15b1d487cfaf17e,4c4293eb5e5af12137b9e97f00111a45
200726,18AC0012151B1,18AC0012151B1_S7_L001_R1_001 Assembly Contigs.fasta,0b2832c3da66c6e218d41bf8579351b1,bfd396fa545cfa481425d0eaeb1b1dc5
200726,18AC0012152,18AC0012152_S9_L001_R1_001 Assembly Contigs.fasta,8eea608dace9d90450975295253a40da,b59f0aae5d3282a9f09dec371236a7f9
200726,18AC0012153-C,18AC0012153-C_S8_L001_R1_001 Assembly Contigs.fasta,438cb0f83ca8ecff2b6eb1589849a3d9,d492ad1fddc4b62f523db56324a69fcb
200726,18AC0012154M,18AC0012154M_S13_L001_R1_001 Assembly Contigs.fasta,109b883d77f5a87c272038e5dcb22656,3159ff5310804a58d999ea73a6c8245c
200726,18AC0017656,18AC0017656_S1_L001_R1_001 Assembly Contigs.fasta,0ce3e01c74219f27c653e2f6f2a763ac,356f224cf1ef48442ddc05f7802e715f
200726,18AC0017657,18AC0017657_S2_L001_R1_001 Assembly Contigs.fasta,f1f1893ebaa48a5a9fb22cd8cb7fceed,540327fadaccc180e4dac0f2a9edd0f6
200726,18AC0017658,18AC0017658_S3_L001_R1_001 Assembly Contigs.fasta,ee20eee1913cb00bfd782ee2cff1c22b,8acb74f7a096b9c2b9d3dee41717a507
200726,18AC0018934,18AC0018934_S10_L001_R1_001 Assembly Contigs.fasta,a8640eb87021383204e9c53006d2ad84,a6962e770f459857ef339fc494dcfaed
