id,name,rank,isroot,isleaf,ncbi_id,threshold,diameter,inferred_threshold_method,min_inter_dist,min_inter_taxon_id,min_inter_taxon_name,min_inter_overlaps_diameter
1,Mobiluncus,genus,True,False,2050,0.9385006576776505,0.99180126,min_inter,0.9878954,1241,Actinobaculum massiliense,True
2,Gordonia,genus,True,False,2053,0.9258639007806776,0.9789365,min_inter,0.9745936,1754,Nocardia farcinica,True
3,Meiothermus,genus,True,False,65551,0.2079284936189651,0.2079285,diameter,0.98535514,624,Thermus oshimai,False
4,Kitasatospora,genus,True,False,2063,0.8186383843421936,0.9470835,min_inter,0.8617246,1820,Streptomyces pyridomyceticus,True
5,Shewanella,genus,True,False,22,0.9435680896043775,0.9955059,min_inter,0.99322957,877,Salmonella enterica,True
6,Sporolactobacillus,genus,True,False,2077,0.9456527173519134,0.9952208,min_inter,0.9954239,1636,Neorhizobium galegae,False
7,Dyella,genus,True,False,231454,0.0062548867426812,0.0062548867,diameter,0.98204195,1607,Rhodanobacter denitrificans,False
8,Myxococcus,genus,True,False,32,0.0126296523958444,0.012629652,diameter,0.96385735,472,Stigmatella aurantiaca,False
9,Stigmatella,genus,True,False,40,0.0125713590532541,0.012571359,diameter,0.96385735,471,Myxococcus xanthus,False
10,Mycoplasma,genus,True,False,2093,0.934761917591095,1.0,min_inter,0.9839599,1289,Mesoplasma florum,True
11,Candidatus Portiera,genus,True,False,235572,0.0410958901047706,0.04109589,diameter,0.995471,1545,Buchnera aphidicola,False
12,Thalassobius,genus,True,False,335927,0.0232800915837287,0.023280092,diameter,0.98434055,1523,Phaeobacter italicus,False
13,Flavonifractor,genus,True,False,946234,0.4770557582378387,0.47705576,diameter,0.9629976,1744,Intestinimonas butyriciproducens,False
14,Lysobacter,genus,True,False,68,0.9249713867902756,0.9836249,min_inter,0.9736541,1680,Pseudoxanthomonas suwonensis,True
15,Fructobacillus,genus,True,False,559173,0.0112963961437344,0.011296396,diameter,0.99469227,1324,Leuconostoc pseudomesenteroides,False
16,Caulobacter,genus,True,False,75,0.9279293328523636,0.9560158,min_inter,0.9767677,670,Brevundimonas diminuta,False
17,Jeotgalibaca,genus,True,False,1470540,0.2456597238779068,0.24565972,diameter,0.994287,1448,Enterococcus dispar,False
18,Ureaplasma,genus,True,False,2129,0.8897143006324768,0.8897143,diameter,0.9758441,1840,Anaerococcus hydrogenalis,False
19,Spiroplasma,genus,True,False,2132,0.9374700367450712,0.9862934,min_inter,0.98681056,801,Neisseria gonorrhoeae,False
20,Pantoea,genus,True,False,53335,0.8953282803297042,0.9992281,min_inter,0.9424508,855,Enterobacter ludwigii,True
21,Cupriavidus,genus,True,False,106589,0.9263947546482084,0.971282,min_inter,0.9751524,590,Achromobacter xylosoxidans,False
22,Nitratireductor,genus,True,False,245876,0.4093260169029236,0.40932602,diameter,0.9813103,982,Mesorhizobium ciceri,False
23,Schaalia,genus,True,False,2529408,0.8809729158878326,0.9718252,min_inter,0.9273399,537,Kytococcus sedentarius,True
24,Oligella,genus,True,False,90243,0.4133102893829345,0.4133103,diameter,0.996656,1141,Taylorella asinigenitalis,False
25,Borrelia,genus,True,False,138,0.9370903134346008,0.9782766,min_inter,0.98641086,1516,Borreliella garinii,False
26,Richelia,genus,True,False,98443,0.6477253437042236,0.64772534,diameter,0.9948507,1327,Dolichospermum circinale,False
27,Eggerthella,genus,True,False,84111,0.2696166634559631,0.26961666,diameter,0.9840475,1747,Amycolatopsis vancoresmycina,False
28,Paenarthrobacter,genus,True,False,1742992,0.3177109360694885,0.31771094,diameter,0.987777,1813,Streptomyces hygroscopicus,False
29,Spirochaeta,genus,True,False,146,0.6522299647331238,0.65222996,diameter,0.99566513,1847,Nocardiopsis dassonvillei,False
30,Rodentibacter,genus,True,False,1960084,0.0076923076994717,0.0076923077,diameter,0.9765163,988,Haemophilus influenzae,False
31,Kocuria,genus,True,False,57493,0.9273679584264756,0.98080635,min_inter,0.9761768,1570,Rothia kristinae,True
32,Collimonas,genus,True,False,202907,0.932128655910492,0.955429,min_inter,0.98118806,1157,Herbaspirillum seropedicae,False
33,Kytococcus,genus,True,False,57499,0.574595034122467,0.57459503,diameter,0.9273399,519,Schaalia odontolytica,False
34,Treponema,genus,True,False,157,0.9442837089300156,0.9987957,min_inter,0.99398285,1380,Burkholderia pseudomallei,True
35,Catabacter,genus,True,False,270497,0.3382702469825744,0.33827025,diameter,0.9941222,1423,Streptococcus constellatus,False
36,Sulfurimonas,genus,True,False,202746,0.0060459491796791,0.006045949,diameter,0.99344856,1581,Arcobacter butzleri,False
37,Salinivibrio,genus,True,False,51366,0.2651216685771942,0.26512167,diameter,0.9888995,937,Vibrio cholerae,False
38,Leptospira,genus,True,False,171,0.9398905038833618,0.99856085,min_inter,0.9893584,1351,Staphylococcus epidermidis,True
39,Leptospirillum,genus,True,False,179,0.4275489151477813,0.42754892,diameter,0.9960396,981,Mesorhizobium plurifarium,False
40,Candidatus Moranella,genus,True,False,1048757,0.0084656085819005,0.008465609,diameter,0.99712974,1545,Buchnera aphidicola,False
41,Oblitimonas,genus,True,False,1849530,0.4198456406593323,0.41984564,diameter,0.99265665,872,Morganella morganii,False
42,Shimwellia,genus,True,False,1335483,0.0097862090915441,0.009786209,diameter,0.9796503,1778,Cronobacter turicensis,False
