id,miniseq_id,run_id,src_file,notes
03-98DDCS,03-98DDCS,NV-MN01149-210701,03-98DDCS_contigs.fasta,
0398KL,0398KL,NV-MN01149-220201,0398KL_contigs.fasta,
16-00014371,16-00014371,NV-M05034-190108,16-00014371_contigs.fasta,
1658-pos,1658-pos,NV-MN01149-210610,1658-pos_contigs.fasta,
1736855-UT,1736855-UT,,1736855-UT_contigs.fasta,
18-00003137,18-00003137,NV-M05034-181009,18-00003137_contigs.fasta,
18-00013669,18-00013669,NV-M05034-181009,18-00013669_contigs.fasta,
18-00015257,18-00015257,NV-M05034-181009,18-00015257_contigs.fasta,
18-00016593,18-00016593,NV-M05034-181001,18-00016593_contigs.fasta,
18-00016595,18-00016595,NV-M05034-181009,18-00016595_contigs.fasta,
18-00016599,18-00016599,NV-M05034-181001,18-00016599_contigs.fasta,
18-00016601,18-00016601,NV-M05034-181009,18-00016601_contigs.fasta,
18-00017823,18-00017823,NV-M05034-181025,18-00017823_contigs.fasta,
18-00020014,18-00020014,NV-M05034-190225,18-00020014_contigs.fasta,
18-00022125,18-00022125,NV-M05034-190225,18-00022125_contigs.fasta,
18-00022236,18-00022236,NV-M05034-190225,18-00022236_contigs.fasta,
18-00022237,18-00022237,NV-M05034-190225,18-00022237_contigs.fasta,
18-00022240,18-00022240,NV-M05034-190225,18-00022240_contigs.fasta,
18-00022241,18-00022241,NV-M05034-190225,18-00022241_contigs.fasta,
18-00022242,18-00022242,NV-M05034-190225,18-00022242_contigs.fasta,
18-00022591,18-00022591,NV-M05034-190108,18-00022591_contigs.fasta,
18-00022779,18-00022779,NV-M05034-190108,18-00022779_contigs.fasta,
18-00023040,18-00023040,NV-M05034-190108,18-00023040_contigs.fasta,
18-00023041,18-00023041,NV-M05034-190108,18-00023041_contigs.fasta,
19-00000130,19-00000130,NV-M05034-190108,19-00000130_contigs.fasta,
19-00001696,19-00001696,NV-M05034-190226,19-00001696_contigs.fasta,
19-00001697,19-00001697,NV-M05034-190226,19-00001697_contigs.fasta,
19-00001698,19-00001698,NV-M05034-190226,19-00001698_contigs.fasta,
19-00001699,19-00001699,NV-M05034-190226,19-00001699_contigs.fasta,
19-00001877,19-00001877,NV-M05034-190308,19-00001877_contigs.fasta,
19-00001924,19-00001924,NV-M05034-190229,19-00001924_contigs.fasta,
19-00002228,19-00002228,NV-M05034-190308,19-00002228_contigs.fasta,
19-00003123,19-00003123,NV-M05034-190308,19-00003123_contigs.fasta,
19-00003623,19-00003623,NV-M05034-190308,19-00003623_contigs.fasta,
19-00003691,19-00003691,NV-M05034-190229,19-00003691_contigs.fasta,
19-00003955,19-00003955,NV-M05034-190308,19-00003955_contigs.fasta,
19-00004107,19-00004107,NV-M05034-190308,19-00004107_contigs.fasta,
19-00004122,19-00004122,NV-M05034-190308,19-00004122_contigs.fasta,
19-00006145,19-00006145,NV-M05034-190503,19-00006145_contigs.fasta,
19-00017207,19-00017207,,19-00017207_contigs.fasta,
19-00017532,19-00017532,,19-00017532_contigs.fasta,
19-00018382,19-00018382,,19-00018382_contigs.fasta,
194248-H,194248-H,NV-MN01149-210621,194248-H_contigs.fasta,
194250-H,194250-H,NV-MN01149-210621,194250-H_contigs.fasta,
19_101395,19_101395,,19_101395_contigs.fasta,
19_101427,19_101427,,19_101427_contigs.fasta,
19_101678,19_101678,,19_101678_contigs.fasta,
19_72605,19_72605,,19_72605_contigs.fasta,
19_75077,19_75077,,19_75077_contigs.fasta,
19_75549,19_75549,,19_75549_contigs.fasta,
19_76730,19_76730,NV-MN01149-190627,19_76730_contigs.fasta,
19_78199,19_78199,,19_78199_contigs.fasta,
19_81806,19_81806,,19_81806_contigs.fasta,
19_93278,19_93278,,19_93278_contigs.fasta,
19_94885,19_94885,,19_94885_contigs.fasta,
19_95802,19_95802,,19_95802_contigs.fasta,
19_96397,19_96397,,19_96397_contigs.fasta,
19_97716,19_97716,,19_97716_contigs.fasta,
19_97720,19_97720,,19_97720_contigs.fasta,
19_98003,19_98003,,19_98003_contigs.fasta,
19_98077,19_98077,,19_98077_contigs.fasta,
19_98314,19_98314,,19_98314_contigs.fasta,
19_99618,19_99618,,19_99618_contigs.fasta,
19_99928,19_99928,,19_99928_contigs.fasta,
