src_id,src_file,dst_group,dst_id,notes
0000922-BO2,0000922-BO2_contigs.fasta,set3,20AC0000922-BO2,Characters missing from start
0012455-1AN,0012455-1AN_contigs.fasta,set3,17AC0012455-1AN,Characters missing from start
0018937-BAP,0018937-BAP_contigs.fasta,set3,18AC0018937-BAP,Characters missing from start
006313ANBLD,006313ANBLD_contigs.fasta,set3 removed,17AC0006313ANBLD,
00922-BANO2,00922-BANO2_contigs.fasta,set3 removed,20AC0000922-BANO2,
018936-ANO2,018936-ANO2_contigs.fasta,set3,18AC0018936-ANO2,Characters missing from start
03-98DDCS,03-98DDCS_contigs.fasta,set4,03-98DDCS,
0398KL,0398KL_contigs.fasta,set4,0398KL,
0922-C2ANO2,0922-C2ANO2_contigs.fasta,set3,20AC0000922-C2ANO2,Characters missing from start
16-00014371,16-00014371_contigs.fasta,set4,16-00014371,
1611137-CAP,1611137-CAP_contigs.fasta,set3,16AC1611137-CAP,Characters missing from start
1611138-CAP,1611138-CAP_contigs.fasta,set3,16AC1611138-CAP,Characters missing from start
1611139-CAP,1611139-CAP_contigs.fasta,set3,16AC1611139-CAP,Characters missing from start
1611140-CAP,1611140-CAP_contigs.fasta,set3,16AC1611140-CAP,Characters missing from start
1611140BCAP,1611140BCAP_contigs.fasta,set3,16AC1611140BCAP,Characters missing from start
1611141-CAP,1611141-CAP_contigs.fasta,set3,16AC1611141-CAP,Characters missing from start
1658-pos,1658-pos_contigs.fasta,set4,1658-pos,
1736855-UT,1736855-UT_contigs.fasta,set4,1736855-UT,
17AC0001408,17AC0001408_contigs.fasta,set3,17AC0001408,
17AC0001409,17AC0001409_contigs.fasta,set3,17AC0001409,
17AC0001410,17AC0001410_contigs.fasta,set3,17AC0001410,
17AC0003893,17AC0003893_contigs.fasta,set3,17AC0003893,
17AC0006310,17AC0006310_contigs.fasta,set3,17AC0006310,
17AC0006311,17AC0006311_contigs.fasta,set3,17AC0006311,
17AC0006312,17AC0006312_contigs.fasta,set3,17AC0006312,
17AC0006314,17AC0006314_contigs.fasta,set3,17AC0006314,
17AC0012453,17AC0012453_contigs.fasta,set3,17AC0012453,
17AC0012454,17AC0012454_contigs.fasta,set3,17AC0012454,
18-00003137,18-00003137_contigs.fasta,set4,18-00003137,
18-00013669,18-00013669_contigs.fasta,set4,18-00013669,
18-00015257,18-00015257_contigs.fasta,set4,18-00015257,
18-00016593,18-00016593_contigs.fasta,set4,18-00016593,
18-00016595,18-00016595_contigs.fasta,set4,18-00016595,
18-00016599,18-00016599_contigs.fasta,set4,18-00016599,
18-00016601,18-00016601_contigs.fasta,set4,18-00016601,
18-00017823,18-00017823_contigs.fasta,set4,18-00017823,
18-00020014,18-00020014_contigs.fasta,set4,18-00020014,
18-00022125,18-00022125_contigs.fasta,set4,18-00022125,
18-00022236,18-00022236_contigs.fasta,set4,18-00022236,
18-00022237,18-00022237_contigs.fasta,set4,18-00022237,
18-00022240,18-00022240_contigs.fasta,set4,18-00022240,
18-00022241,18-00022241_contigs.fasta,set4,18-00022241,
18-00022242,18-00022242_contigs.fasta,set4,18-00022242,
18-00022591,18-00022591_contigs.fasta,set4,18-00022591,
