Date of WGS run,Class of PT,"""Short Hand"" Name",jared_id,jared_id needs edit,fastq Name,GAMBIT distance,GAMBIT Species Threshold,16S used to compliment reported results,MIDAS predicted genus,MIDAS predicted species,Reported results,CAP matched intented results
10/12/16,BACT1_2016,16AC1611137-CAP,16AC1611137-CAP,,16AC1611137-CAP_S12_L001_R1_001.fastq,0.324,0.540,no,Enterococcus,gallinarum,Enterococcus gallinarum,Enterococcus gallinarum
10/12/16,BACT1_2016,16AC1611138-CAP,16AC1611138-CAP,,16AC1611138-CAP_S13_L001_R1_001.fastq,0.160,0.347,no,Escherichia,coli,Escherichia coli,Escherichia coli
10/12/16,BACT1_2016,16AC1611139-CAP,16AC1611139-CAP,,16AC1611139-CAP_S14_L001_R1_001,0.180,0.777,no,Serratia,marcescens,Serratia marcescens,Serratia marcescens
10/12/16,BACT1_2016,16AC1611140A-CAP,16AC1611140-CAP,?,16AC1611140-CAP_S15_L001_R1_001.fastq,0.152,0.167,no,Staphylococcus,lugdunensis,Staphylococcus lugdunensis,Staphylococcus
10/12/16,BACT1_2016,16AC1611141-CAP,16AC1611141-CAP,,16AC1611141-CAP_S16_L001_R1_001.fastq,0.229,0.294,no,Providencia,stuartii,Providencia stuartii,Providencia stuartii
10/20/16,BACT1_2016,16AC1611140B-CAP,16AC1611140BCAP,?,16AC1611140BCAP_S11_L001_R1_001.fastq,0.337,0.554,no,Propionibacterium (Cutibacterium),acnes,Propionibacterium (Cutibacterium) acnes,Propionibacterium
2/25/17,BACT1_2017,17AC0001408.fasta,17AC0001408,,17AC0001408_S7_L001_R1_001.fastq,0.138,0.381,no,Streptococcus,mutans,Streptococcus mutans,Streptococcus mutans group
2/25/17,BACT1_2017,17AC0001409.fasta,17AC0001409,,17AC0001409_S8_L001_R1_001.fastq,0.456,0.651,no,Streptococcus,dysgalactiae,Streptococcus dysgalactiae,Streptococcus dysgalactiae
2/25/17,BACT1_2017,17AC0001410.fasta,17AC0001410,,17AC0001410_S9_L001_R1_001.fastq,0.161,0.347,no,Escherichia,coli,Negative for E coli O157/Aeromonas/Campylobacter/Shigella/Salmonella/Vibrio/Yersinia,Mixed Sample 1: Exclude E coli O157/Aeromonas/Campylobacter/Shigella/Salmonella/Vibrio/Yersinia
3/4/17,BACT1_2017,17AC0001410A.fasta,17AC0001410A,,17AC0001410A_S12_L001_R1_001.fastq,0.131,0.470,no,Enterococcus,faecalis,Negative for E coli O157/Aeromonas/Campylobacter/Shigella/Salmonella/Vibrio/Yersinia,Mixed Sample 1: Exclude E coli O157/Aeromonas/Campylobacter/Shigella/Salmonella/Vibrio/Yersinia
3/7/17,BACT1_2017,17AC0001411B.fasta,17AC0001411B,,17AC0001411B_S10_L001_R1_001.fastq,0.015,0.713,no,Staphylococcus,aureus,Staphylococcus aureus,Staphylococcus aureus
3/7/17,BACT1_2017,17AC0001412BR.fasta,17AC0001412BR,,17AC0001412BR_S12_L001_R1_001.fastq,0.269,0.580,no,Streptococcus,pneumoniae,Streptococcus pneumoniae,Streptococcus pneumoniae
