genbank_acc,filename,ncbi_taxid,genus,species,ncbi_uid
GCA_003013715.2,GCA_003013715.2_ASM301371v2_genomic.fna,498019,Candida,auris,4557601
GCA_016772195.1,GCA_016772195.1_ASM1677219v1_genomic.fna,498019,Candida,auris,9202671
GCA_016495665.1,GCA_016495665.1_ASM1649566v1_genomic.fna,498019,Candida,auris,9054381
GCA_016495645.1,GCA_016495645.1_ASM1649564v1_genomic.fna,498019,Candida,auris,9054371
GCA_016495685.1,GCA_016495685.1_ASM1649568v1_genomic.fna,498019,Candida,auris,9054391
GCA_016772175.1,GCA_016772175.1_ASM1677217v1_genomic.fna,498019,Candida,auris,9202661
GCA_014217455.1,GCA_014217455.1_ASM1421745v1_genomic.fna,498019,Candida,auris,7891881
GCA_016809505.1,GCA_016809505.1_ASM1680950v1_genomic.fna,498019,Candida,auris,9249601
GCA_008275145.1,GCA_008275145.1_ASM827514v1_genomic.fna,498019,Candida,auris,4513771
GCA_016772155.1,GCA_016772155.1_ASM1677215v1_genomic.fna,498019,Candida,auris,9202651
GCA_019039655.1,GCA_019039655.1_ASM1903965v1_genomic.fna,498019,Candida,auris,10389751
GCA_019039335.1,GCA_019039335.1_ASM1903933v1_genomic.fna,498019,Candida,auris,10389591
GCA_019039475.1,GCA_019039475.1_ASM1903947v1_genomic.fna,498019,Candida,auris,10389661
GCA_019039435.1,GCA_019039435.1_ASM1903943v1_genomic.fna,498019,Candida,auris,10389641
GCA_019039355.1,GCA_019039355.1_ASM1903935v1_genomic.fna,498019,Candida,auris,10389601
GCA_019039375.1,GCA_019039375.1_ASM1903937v1_genomic.fna,498019,Candida,auris,10389611
GCA_019039755.1,GCA_019039755.1_ASM1903975v1_genomic.fna,498019,Candida,auris,10389801
GCA_019039735.1,GCA_019039735.1_ASM1903973v1_genomic.fna,498019,Candida,auris,10389791
GCA_019039695.1,GCA_019039695.1_ASM1903969v1_genomic.fna,498019,Candida,auris,10389771
GCA_019039275.1,GCA_019039275.1_ASM1903927v1_genomic.fna,498019,Candida,auris,10389561
GCA_019039535.1,GCA_019039535.1_ASM1903953v1_genomic.fna,498019,Candida,auris,10389691
GCA_019039715.1,GCA_019039715.1_ASM1903971v1_genomic.fna,498019,Candida,auris,10389781
GCA_019039415.1,GCA_019039415.1_ASM1903941v1_genomic.fna,498019,Candida,auris,10389631
GCA_019039595.1,GCA_019039595.1_ASM1903959v1_genomic.fna,498019,Candida,auris,10389721
GCA_019039515.1,GCA_019039515.1_ASM1903951v1_genomic.fna,498019,Candida,auris,10389681
GCA_019039675.1,GCA_019039675.1_ASM1903967v1_genomic.fna,498019,Candida,auris,10389761
GCA_019039235.1,GCA_019039235.1_ASM1903923v1_genomic.fna,498019,Candida,auris,10389541
GCA_019332045.1,GCA_019332045.1_ASM1933204v1_genomic.fna,498019,Candida,auris,10565601
GCA_019039295.1,GCA_019039295.1_ASM1903929v1_genomic.fna,498019,Candida,auris,10389571
GCA_019039455.1,GCA_019039455.1_ASM1903945v1_genomic.fna,498019,Candida,auris,10389651
GCA_019039615.1,GCA_019039615.1_ASM1903961v1_genomic.fna,498019,Candida,auris,10389731
GCA_019039395.1,GCA_019039395.1_ASM1903939v1_genomic.fna,498019,Candida,auris,10389621
GCA_019039635.1,GCA_019039635.1_ASM1903963v1_genomic.fna,498019,Candida,auris,10389741
GCA_019039495.1,GCA_019039495.1_ASM1903949v1_genomic.fna,498019,Candida,auris,10389671
GCA_019039775.1,GCA_019039775.1_ASM1903977v1_genomic.fna,498019,Candida,auris,10389811
GCA_019039575.1,GCA_019039575.1_ASM1903957v1_genomic.fna,498019,Candida,auris,10389711
GCA_019039315.1,GCA_019039315.1_ASM1903931v1_genomic.fna,498019,Candida,auris,10389581
GCA_016772235.1,GCA_016772235.1_ASM1677223v1_genomic.fna,498019,Candida,auris,9202691
GCA_016772135.1,GCA_016772135.1_ASM1677213v1_genomic.fna,498019,Candida,auris,9202641
GCA_019039555.1,GCA_019039555.1_ASM1903955v1_genomic.fna,498019,Candida,auris,10389701
GCA_014673535.1,GCA_014673535.1_ASM1467353v1_genomic.fna,498019,Candida,auris,8128631
GCA_016772215.1,GCA_016772215.1_ASM1677221v1_genomic.fna,498019,Candida,auris,9202681
GCA_021172205.1,GCA_019332025.1_ASM1933202v1_genomic.fna,4932,Saccharomyces,cerevisiae,11607141
GCA_023508825.1,GCA_023508825.1_ASM2350882v1_genomic.fna,4932,Saccharomyces,cerevisiae,12792371
GCA_003086655.1,GCA_003086655.1_ASM308665v1_genomic.fna,4932,Saccharomyces,cerevisiae,1690551
GCA_004328465.1,GCA_004328465.1_ASM432846v1_genomic.fna,4932,Saccharomyces,cerevisiae,2336071
GCA_001051215.1,GCA_001051215.1_ASM105121v1_genomic.fna,4932,Saccharomyces,cerevisiae,362901
GCA_018219195.1,GCA_018219195.1_ASM1821919v1_genomic.fna,4932,Saccharomyces,cerevisiae,10787241
GCA_003709285.1,GCA_003709285.1_ASM370928v1_genomic.fna,4932,Saccharomyces,cerevisiae,2078271
GCA_022695735.1,GCA_022695735.1_ASM2269573v1_genomic.fna,4932,Saccharomyces,cerevisiae,12384581
GCA_020450195.1,GCA_020450195.1_ASM2045019v1_genomic.fna,5478,Candia,glabrata,11174921
GCA_020450235.1,GCA_020450235.1_ASM2045023v1_genomic.fna,5478,Candia,glabrata,11174961
GCA_020450265.1,GCA_020450265.1_ASM2045026v1_genomic.fna,5478,Candia,glabrata,11174981
GCA_020450215.1,GCA_020450215.1_ASM2045021v1_genomic.fna,5478,Candia,glabrata,11174931
GCA_014217725.1,GCA_014217725.1_ASM1421772v1_genomic.fna,5478,Candia,glabrata,7892011
GCA_000002545.2,GCF_000002545.3_ASM254v2_genomic.fna,5478,Candia,glabrata,170198
GCA_001854445.2,GCA_001854445.2_ASM185444v2_genomic.fna,4911,Candida,kefyr,5385671
GCA_001854445.1,GCA_001854445.1_ASM185444v1_genomic.fna,4911,Candida,kefyr,860081
GCA_001417835.1,GCA_001417835.1_KM1777_03_genomic.fna,4911,Candida,kefyr,562201
GCA_016625955.1,GCA_016625955.1_ASM1662595v1_genomic.fna,4911,Candida,kefyr,9120461
GCA_003054445.1,GCA_003054445.1_ASM305444v1_genomic.fna,4909,Candida,krusei,1679711
GCA_003054405.1,GCA_003054405.1_ASM305440v1_genomic.fna,4909,Candida,krusei,1679691
GCA_003033855.1,GCA_003033855.1_ASM303385v1_genomic.fna,4909,Candida,krusei,1658221
GCA_014490615.1,GCA_014490615.1_ASM1449061v1_genomic.fna,4952,Candida,lipolytica,8042741
GCA_023272835.1,GCA_023272835.1_ASM2327283v1_genomic.fna,4952,Candida,lipolytica,12675881
GCA_001761485.1,GCA_001761485.1_ASM176148v1_genomic.fna,4952,Candida,lipolytica,813591
GCA_009498055.1,GCA_009498055.1_ASM949805v1_genomic.fna,36911,Candida,lusitaniae,5131631
GCA_009498135.1,GCA_009498135.1_ASM949813v1_genomic.fna,36911,Candida,lusitaniae,5131671
GCA_009498075.1,GCA_009498075.1_ASM949807v1_genomic.fna,36911,Candida,lusitaniae,5131641
GCA_009498115.1,GCA_009498115.1_ASM949811v1_genomic.fna,36911,Candida,lusitaniae,5131661
GCA_009498095.1,GCA_009498095.1_ASM949809v1_genomic.fna,36911,Candida,lusitaniae,5131651
