biosample_accession,id,entity:miniseq_id,submission_id,biosample_uid,sra,bioproject_uid,bioproject_accession
SAMN30861889,20-00302759,20-00302759,NV_NSPHL_0000232,30861889,SRS15134121,857686,PRJNA857686
SAMN30861888,20-00302762,20-00302762,NV_NSPHL_0000233,30861888,SRS15134122,857686,PRJNA857686
SAMN30861887,20-00307547,20-00307547,NV_NSPHL_0000234,30861887,SRS15134123,857686,PRJNA857686
SAMN30861886,20-00307549,20-00307549,NV_NSPHL_0000235,30861886,SRS15134124,857686,PRJNA857686
SAMN30861885,20-00307550,20-00307550,NV_NSPHL_0000236,30861885,SRS15134125,857686,PRJNA857686
SAMN30861884,20-00307551,20-00307551,NV_NSPHL_0000237,30861884,SRS15134126,857686,PRJNA857686
SAMN30861883,20-00317566,20-00317566,NV_NSPHL_0000238,30861883,SRS15134127,857686,PRJNA857686
SAMN30861882,20-00317568,20-00317568,NV_NSPHL_0000239,30861882,SRS15134128,857686,PRJNA857686
SAMN30861881,20-00317570,20-00317570,NV_NSPHL_0000240,30861881,SRS15134129,857686,PRJNA857686
SAMN30861880,20-00317573,20-00317573,NV_NSPHL_0000241,30861880,SRS15134130,857686,PRJNA857686
SAMN30861879,20-00317578,20-00317578,NV_NSPHL_0000242,30861879,SRS15134131,857686,PRJNA857686
SAMN30983621,21-00249822,21-00249822,NV_NSPHL_0000243,30983621,,857686,PRJNA857686
SAMN30983620,21-00302750,21-00302750,NV_NSPHL_0000244,30983620,,857686,PRJNA857686
SAMN30983619,21-00302751,21-00302751,NV_NSPHL_0000245,30983619,,857686,PRJNA857686
SAMN30983618,21-00312932,21-00312932,NV_NSPHL_0000246,30983618,,857686,PRJNA857686
SAMN30861878,21-00325050,21-00325050,NV_NSPHL_0000247,30861878,SRS15134132,857686,PRJNA857686
SAMN30861877,21-00325051,21-00325051,NV_NSPHL_0000248,30861877,SRS15134133,857686,PRJNA857686
SAMN30861876,21-00325054,21-00325054,NV_NSPHL_0000249,30861876,SRS15134134,857686,PRJNA857686
SAMN30861875,21-00325056,21-00325056,NV_NSPHL_0000250,30861875,SRS15134135,857686,PRJNA857686
SAMN30861874,21-00325057,21-00325057,NV_NSPHL_0000251,30861874,SRS15134136,857686,PRJNA857686
SAMN30861873,21-00325059,21-00325059,NV_NSPHL_0000252,30861873,SRS15134137,857686,PRJNA857686
