id,entity:miniseq_id,biosample_accession,submission_id,amrfinderplus_amr_genes,ts_mlst_predicted_st,gambit_predicted_taxon,city,received_date,Provider,collection_date,dataset,est_coverage,genome_length,kleborate_bla_resistance_genes,kleborate_key_resistance_genes,kleborate_mlst_sequence_type,r1_mean_q,read1,run_id,seq_platform,serotypefinder_serotype,collected_by,contigs_fastg,contigs_lastgraph,design_description,filetype,geo_loc_name,host,host_disease,instrument_model,isolate,isolation_source,isolation_type,lat_lon,library_ID,library_layout,library_selection,library_source,library_strategy,organism,platform,title,jared_notes
20-00302759,20-00302759,SAMN30861889,NV_NSPHL_0000232,"kdeA,fosA,blaSHV-11,emrD,oqxA,oqxB,blaKPC-3,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2,aac(6')-Ib',aadA1,blaOXA-9,dfrA14,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2020-12-08,UMC,2020-11-18,CL2021-00302759-NV-MN01149-210614,61.44,5599655,OXA-9.v1;KPC-3,OXA-9.v1;TEM-1D.v1^;KPC-3,ST258,35.2,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/76238c34-5ca5-42b4-ad59-b4228b7d6670/call-fetch_bs/CL2021-00302759_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000232,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00302762,20-00302762,SAMN30861888,NV_NSPHL_0000233,"oqxA,oqxB,kdeA,fosA,emrD,blaKPC-3,dfrA14,sul2,aph(3'')-Ib,aph(6)-Id,aac(6')-Ib,blaTEM",ST258,Klebsiella pneumoniae,not collected,2020-12-08,UMC,2020-11-26,CL2021-00302762-NV-MN01149-210614,71.7,5395893,KPC-3,TEM-168?;KPC-3,ST258,35.15,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/77c402d3-cc99-486e-9673-d0d5cfa435fe/call-fetch_bs/CL2021-00302762_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000233,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00307547,20-00307547,SAMN30861887,NV_NSPHL_0000234,"blaSHV-76,emrD,oqxA,oqxB14,fosA,blaKPC-2,kdeA,fosA7,blaCTX-M-15,blaTEM-1,aph(6)-Id,aph(3'')-Ib,dfrA14,qnrB1,aac(6')-Ib-cr5,blaOXA-1,catB3",ST405,Klebsiella pneumoniae,not collected,2020-12-11,KINDRED HOSP-SAHARA,2020-12-03,CL2021-00307547-NV-MN01149-210614,87.86,5586705,OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST405,35.24,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/430185bd-53c8-46b4-83f5-70014485bc34/call-fetch_bs/CL2021-00307547_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000234,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00307549,20-00307549,SAMN30861886,NV_NSPHL_0000235,"blaSHV-28,kdeA,fosA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,aac(6')-Ib,blaOXA-1,catB3,blaOXA,blaTEM",ST14,Klebsiella pneumoniae,not collected,2020-12-11,UMC,2020-12-06,CL2021-00307549-NV-MN01149-210614,63.73,5537284,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,35.23,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/d8235e52-020a-4061-901c-16efd1007c34/call-fetch_bs/CL2021-00307549_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000235,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00307550,20-00307550,SAMN30861885,NV_NSPHL_0000236,"oqxB,oqxA,fosA,emrD,kdeA,blaSHV-11,blaKPC-3,dfrA14,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2,aac(6')-Ib",ST258,Klebsiella pneumoniae,not collected,2020-12-11,HORIZON SPEC-LV CPU,2020-11-29,CL2021-00307550-NV-MN01149-210614,75.02,5523831,TEM-150*?;KPC-3,TEM-1D.v1^;KPC-3,ST258,34.99,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/0eb887d5-2007-4c9a-975e-a164f8e30867/call-fetch_bs/CL2021-00307550_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000236,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00307551,20-00307551,SAMN30861884,NV_NSPHL_0000237,"blaSHV-11,oqxA,oqxB,emrD,fosA7,kdeA,fosA,tet(A),qnrB1,blaKPC-2,sul2,aph(3'')-Ib,aph(6)-Id,blaOXA-2,sul1,blaCTX-M-15,catB3,blaOXA-1,aac(6')-Ib-cr5,dfrA14",No ST predicted,Klebsiella pneumoniae,not collected,2020-12-11,TLC Care Center (Quest),2020-12-01,CL2021-00307551-NV-MN01149-210614,70.8,5614621,OXA-1;OXA-2;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;OXA-2;CTX-M-15;KPC-2,ST1015-1LV,35.12,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/f7861544-6508-4ba0-bee7-87f970faaa0a/basespace_fetch/6e332a1d-5063-43c7-922d-d57db404cdf2/call-fetch_bs/CL2021-00307551_R1.fastq.gz,NV-MN01149-210614,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000237,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00317566,20-00317566,SAMN30861883,NV_NSPHL_0000238,"blaSHV-28,fosA,qnrB1,kdeA,emrD,blaKPC-2,blaCTX-M-15,blaOXA,blaOXA-1,blaTEM,catB3,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2020-12-29,KINDRED,2020-12-05,CL2021-00317566-NV-MN01149-210615,75.43,5518019,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;TEM-122*?;CTX-M-15;KPC-2,ST14,34.48,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/c85dd08a-33f4-41e3-991d-47e416efd994/basespace_fetch/7c3529da-d32c-45c1-9710-0086f501295d/call-fetch_bs/CL2021-00317566_R1.fastq.gz,NV-MN01149-210615,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000238,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00317568,20-00317568,SAMN30861882,NV_NSPHL_0000239,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,blaTEM-1,dfrA14,tet(A),qnrB1,blaCTX-M-15,aac(3)-IIe,catB3,blaOXA-1,aac(6')-Ib-cr5,blaOXA",ST14,Klebsiella pneumoniae,not collected,2020-12-29,Mountain View Hospital,2020-12-21,CL2021-00317568-NV-MN01149-210615,39.76,5661921,OXA-1;CTX-M-15,qnrB1.v2^;OXA-1;TEM-1D.v1^;CTX-M-15;KPC-2,ST14,34.42,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/c85dd08a-33f4-41e3-991d-47e416efd994/basespace_fetch/29994e05-dff5-42fd-8a4e-89c6535b5513/call-fetch_bs/CL2021-00317568_R1.fastq.gz,NV-MN01149-210615,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000239,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00317570,20-00317570,SAMN30861881,NV_NSPHL_0000240,"blaSHV-28,fosA,kdeA,emrD,blaKPC-2,qnrB1,blaCTX-M-15,aac(3)-IIe,blaOXA,catB3,blaOXA-1,aac(6')-Ib",ST14,Klebsiella pneumoniae,not collected,2020-12-29,Mountain View Hospital,2020-12-12,CL2021-00317570,86.62,5356536,OXA-1;CTX-M-15;KPC-2,qnrB1.v2^;OXA-1;CTX-M-15;KPC-2,ST14,34.88,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/f0231af6-6723-4e2c-b0ef-ff9cf3bad631/call-fetch_bs/attempt-2/CL2021-00317570_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000240,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
20-00317573,20-00317573,SAMN30861880,NV_NSPHL_0000241,"oqxB,oqxA,fosA,emrD,kdeA,blaKPC-3,catA1,blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2,mph(A),dfrA14,blaOXA-9,aadA1,aac(6')-Ib,blaSHV",ST258,Klebsiella pneumoniae,not collected,2020-12-29,NDHHS,2020-12-17,CL2021-00317573,87.55,5620153,OXA-9.v1;TEM-1D.v1^;KPC-3,OXA-9.v1;TEM-1D.v1^;KPC-3,ST258,34.93,gs://fc-ec62caa7-6a45-49be-bc46-107b39eff6aa/941c4e7b-5cf6-40a7-b8b3-3d273070de1c/basespace_fetch/4d5b21b1-6d78-458b-87c6-5651ee120da7/call-fetch_bs/CL2021-00317573_R1.fastq.gz,NV-MN01149-210610,ILLUMINA,,not collected,,,not collected,fastq,USA: Nevada,Homo sapiens,not collected,Illumina MiniSeq,not collected,human,Clinical,not collected,NV_NSPHL_0000241,paired,RANDOM,GENOMIC,WGS,Klebsiella pneumoniae,ILLUMINA,WGS of HAIs,
