Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
03_98DDCS	376	161	95	79	61	33	5266375	5180377	5009970	4883540	4597193	3563304	209	201564	5215735	91892	42902	19	41	0.00
0398KL	341	104	56	47	39	26	5355609	5268266	5146213	5075166	4958730	4470379	149	505462	5299095	201871	91185	8	20	0.00
16_00014371	132	74	54	49	37	30	5812240	5792271	5752176	5714654	5508188	5267836	83	506980	5798705	207112	105634	9	19	0.00
1658_pos	201	96	58	53	42	30	5799293	5760348	5670647	5638064	5436337	5002243	123	515302	5777941	184267	91002	11	22	0.00
1736855_UT	44	21	16	16	15	13	4681000	4672853	4665176	4665176	4644091	4561798	26	805195	4676414	449063	267772	4	7	0.00
18_00003137	103	56	42	40	34	27	5704734	5687755	5656476	5643447	5539376	5265837	65	672193	5694390	270452	129697	7	15	0.00
18_00013669	94	44	37	35	33	26	6052385	6034927	6023689	6010348	5971425	5711624	50	625935	6039951	250465	154014	7	14	0.00
18_00015257	72	38	27	24	23	20	5045351	5030470	5009852	4986754	4974532	4879941	48	820815	5038109	387544	156269	5	11	0.00
18_00016593	73	40	28	26	25	21	5036332	5021814	4998955	4985148	4970543	4842891	50	633139	5029242	332636	157046	5	11	0.00
18_00016595	70	37	26	24	23	20	5045717	5031580	5010962	4997154	4980571	4885981	46	1043794	5038503	387544	156269	4	10	0.00
18_00016599	85	42	30	27	22	21	5045238	5027450	5002901	4979803	4902224	4867085	52	541063	5035282	319690	156269	6	12	0.00
18_00016601	116	63	47	42	35	28	5704243	5685194	5655368	5620424	5496873	5236687	73	672193	5692423	237760	113042	8	16	0.00
18_00017823	84	43	30	29	26	24	5045474	5026159	5000202	4992610	4937054	4871956	58	618903	5037900	233553	137104	7	14	0.00
18_00020014	100	45	33	29	25	19	6181140	6160912	6140536	6112737	6043293	5830041	56	1198798	6168329	353720	271053	4	9	0.00
18_00022125	83	43	31	30	27	23	5045717	5029755	5004352	4996760	4947066	4813116	52	523604	5036678	297175	142480	7	13	0.00
18_00022236	78	35	27	26	20	17	6118941	6104445	6087902	6082535	5984133	5869151	40	1163517	6107991	441856	339306	5	9	0.00
18_00022237	96	47	33	31	27	21	5516048	5495633	5462371	5449080	5388292	5160561	60	664617	5505284	304290	205957	7	12	0.00
18_00022240	149	84	57	47	38	30	5728318	5702621	5638749	5561344	5413257	5153569	98	440567	5713648	234017	100101	9	19	0.00
18_00022241	110	60	49	39	33	25	6109358	6091461	6072586	5996892	5894891	5609719	66	655555	6096371	289558	155763	8	15	0.00
18_00022242	63	35	25	21	19	16	5441974	5432345	5411565	5377678	5345091	5234657	39	1434471	5434694	720192	271054	3	7	0.00
18_00022591	98	60	48	44	33	28	5626883	5613152	5589849	5555391	5370429	5174989	69	556510	5618990	224374	129509	9	17	0.00
18_00022779	146	89	61	55	42	32	5930439	5910127	5849149	5802339	5562325	5216332	100	543840	5917944	220206	95817	10	21	0.00
18_00023040	104	57	38	36	30	22	5521846	5503631	5461141	5446533	5352838	5065882	68	809017	5511302	291794	144903	7	13	0.00
18_00023041	127	74	59	53	41	27	5711588	5691323	5657965	5611720	5413266	4897128	86	426547	5700194	191940	95910	9	19	0.00
19_00000130	99	46	34	29	25	21	5520652	5500136	5477153	5440966	5378156	5236920	58	1017759	5508714	303495	220549	6	11	0.00
19_00001696	58	36	28	25	19	15	2075679	2067312	2049693	2028108	1917895	1758057	41	447265	2070523	106097	69780	5	12	0.00
19_00001697	18	9	9	8	8	8	1991241	1987401	1987401	1982115	1982115	1982115	12	944010	1989164	364231	199575	2	3	0.00
19_00001698	29	18	14	14	12	8	1972767	1968581	1958362	1958362	1934440	1764741	21	740217	1970729	261969	152399	2	5	0.00
19_00001699	48	33	26	22	17	12	2094407	2088954	2074799	2043659	1961293	1775609	36	621452	2090841	159598	65127	4	9	0.00
19_00001877	155	93	63	55	42	28	5666520	5639830	5575445	5519827	5316413	4822379	113	368461	5654510	206527	95817	11	21	0.00
19_00001924	47	38	36	32	29	16	2106808	2103652	2098915	2070232	2012029	1524761	40	160394	2104802	78508	48915	9	18	0.00
19_00002228	33	18	16	14	11	10	1972512	1967279	1964344	1950961	1913319	1882784	21	443071	1969324	229679	152400	3	6	0.00
19_00003123	36	15	14	12	9	7	2022512	2015798	2014780	2003378	1943609	1870312	18	748854	2017936	618411	167363	2	3	0.00
19_00003623	31	13	12	11	10	8	1982805	1976761	1975565	1970318	1957192	1867828	16	618545	1978867	613639	132479	2	4	0.00
19_00003691	29	13	12	11	11	9	1992419	1985945	1984889	1979603	1979603	1902044	17	667391	1988433	364232	169813	2	5	0.00
19_00003955	32	21	20	19	18	15	2075910	2071968	2069471	2064196	2043396	1942905	23	388985	2073416	150184	70480	5	10	0.00
19_00004107	15	8	8	7	7	7	1988037	1985763	1985763	1980477	1980477	1980477	9	738767	1986377	470274	362965	2	3	0.00
19_00004122	61	29	25	22	19	16	2009422	1996044	1985819	1968446	1910470	1785748	38	275638	2002504	124566	70722	6	12	0.00
19_00006145	69	21	19	18	17	12	2112308	2095467	2090853	2085593	2067151	1919861	31	345993	2102194	225673	86767	4	8	0.00
19_00017207	532	320	202	145	60	17	4754474	4670643	4348341	3918264	2563702	1109370	373	90622	4708560	27365	14118	52	113	0.00
19_00017532	529	318	201	143	58	17	4683894	4604094	4291139	3853295	2485477	1095478	372	90590	4641967	27333	14086	52	112	0.00
19_00018382	537	318	201	144	58	16	4710969	4631862	4310846	3878804	2487146	1058332	367	90590	4666781	27053	14086	52	113	0.00
19_101395	518	301	197	124	62	19	4612078	4521021	4277337	3771788	2764921	1232306	362	90019	4564798	31954	14750	46	96	0.00
19_101427	450	314	201	141	57	15	4560017	4495176	4172936	3715052	2379495	949874	369	88271	4535048	25722	12672	53	114	0.00
19_101678	440	312	199	139	57	16	4558714	4497237	4181630	3727166	2423735	1024528	364	88271	4535229	25963	13182	51	111	0.00
194248_H	165	91	68	60	45	33	5662194	5636591	5580765	5525607	5289030	4875851	104	342166	5645834	142289	95785	13	25	0.00
194250_H	110	54	35	35	31	27	5569656	5551972	5514034	5514034	5448355	5310826	61	507517	5556642	272899	144157	8	15	0.00
19_72605	450	258	180	122	55	19	4321697	4246915	4054220	3636594	2521770	1255235	307	89840	4282608	31448	15356	42	90	0.00
19_75077	494	293	193	145	61	20	4899429	4816852	4540443	4184843	2841308	1380985	346	100338	4856664	31340	15492	47	102	0.00
19_75549	481	275	187	145	62	20	4743150	4662988	4432105	4118930	2788264	1326691	320	100507	4695624	32036	16187	47	99	0.00
19_76730	551	283	194	124	63	17	4612455	4518869	4305833	3804409	2803889	1151071	335	91178	4556395	32369	15324	45	94	0.00
19_78199	568	328	206	147	60	15	4877190	4789727	4448526	4001799	2602106	992774	383	83339	4829103	27704	14128	53	115	0.00
19_81806	593	301	186	128	61	23	4758411	4656083	4372385	3953093	2894655	1564490	359	137265	4697254	34692	14650	43	93	0.00
