species_index,genus,species,diameter,index1,acc1,index2,acc2
1,Acetobacter,aceti,0.033568212957525934,1859,GCF_000193495.1,23526,GCF_000963905.1
2,Acetobacter,cerevisiae,0.5857047044169781,44619,GCF_001580535.1,44632,GCF_001581105.1
3,Acetobacter,orleanensis,0.0021777003484320556,23531,GCF_000964205.1,44629,GCF_001581005.1
4,Acetobacter,pasteurianus,0.5673295885835737,2769,GCF_000241585.2,4245,GCF_000285275.1
5,Acetobacter,pomorum,0.15282977317771415,1854,GCF_000193245.1,19883,GCF_000755675.1
6,Acetobacter,tropicalis,0.5406582768635043,19882,GCF_000755665.1,44625,GCF_001580915.1
7,Achromobacter,piechaudii,0.38200958229300225,1102,GCF_000164035.1,34936,GCF_001262515.1
8,Achromobacter,xylosoxidans,0.4439617723718506,10781,GCF_000517225.1,45160,GCF_001598595.1
9,Acidaminococcus,intestini,0.14530864197530866,2480,GCF_000230275.1,8412,GCF_000425045.1
10,Acidiphilium,multivorum,0.012114685691210122,1955,GCF_000202835.1,23533,GCF_000964345.1
11,Acidithiobacillus,caldus,0.3705801579128047,1429,GCF_000175575.2,2251,GCF_000221025.1
12,Acidithiobacillus,ferrivorans,0.6345040524893863,2081,GCF_000214095.2,19761,GCF_000750615.1
13,Acidithiobacillus,ferrooxidans,0.23289880392420373,429,GCF_000021485.1,40778,GCF_001418795.1
14,Acidithiobacillus,thiooxidans,0.5709213562932718,2355,GCF_000227215.1,18748,GCF_000709715.1
15,Acidovorax,avenae,0.49802276812462554,1475,GCF_000176855.2,35507,GCF_001282395.1
16,Acidovorax,citrulli,0.25376375217139546,276,GCF_000015325.1,23641,GCF_000968215.1
17,Acidovorax,radicis,0.0005256241787122207,1970,GCF_000204195.1,1971,GCF_000204215.1
18,Acinetobacter,baumannii,0.6163928696260049,23667,GCF_000969465.1,40640,GCF_001414915.1
19,Acinetobacter,baylyi,0.04808466582307604,4775,GCF_000302115.1,6995,GCF_000368685.1
20,Acinetobacter,beijerinckii,0.5447219983883964,7008,GCF_000368985.1,22631,GCF_000931715.1
21,Acinetobacter,bereziniae,0.46862542447955113,6987,GCF_000368505.1,19844,GCF_000753985.1
22,Acinetobacter,bouvetii,0.0022182171079994455,7003,GCF_000368865.1,7133,GCF_000373725.1
23,Acinetobacter,brisouii,0.005160550458715597,6993,GCF_000368645.1,10017,GCF_000488275.1
24,Acinetobacter,calcoaceticus,0.5887456618740704,7007,GCF_000368965.1,21954,GCF_000818215.1
25,Acinetobacter,gerneri,0.008764241893076249,6990,GCF_000368565.1,19639,GCF_000747725.1
26,Acinetobacter,guillouiae,0.5756903705823437,6986,GCF_000368485.1,8158,GCF_000414055.1
27,Acinetobacter,gyllenbergii,0.30686393857102723,10014,GCF_000488195.1,22630,GCF_000931695.1
