name,assembly_size,assembly_ncontigs,assembly_n50,fastq_nreads,fastq_nnucs,est_coverage
16AC1611137-CAP_S12,3434497,348,35747,1814188,244131933,71.08229618485618
16AC1611138-CAP_S13,4813511,565,17506,1721470,232897076,48.38403319323463
16AC1611139-CAP_S14,4913689,440,21808,1054659,147881364,30.095792387348894
16AC1611140-CAP_S15,2482152,719,10434,2009335,265328310,106.89446496427294
16AC1611141-CAP_S16,4220639,723,15963,1340197,187137856,44.33874965378465
17AC0001408_S7,1964529,157,36903,4778804,617347791,314.2472271979696
17AC0001409_S8,4305763,543,19279,3432370,449140653,104.31151296529791
17AC0001410A_S12,2985418,570,12275,3864669,509286927,170.5914974050535
17AC0001410B_S13,2985032,604,11325,4657878,584720558,195.88418415614976
17AC0001410_S9,4827178,526,19554,2663277,355880439,73.724324853983
17AC0001411B_S10,2753607,228,33968,4224840,520290633,188.94876175140462
17AC0001412BR_S12,2048379,433,9980,3057451,393015740,191.86671021329548
17AC0003892A_S1,6419023,2553,4868,2053910,279345044,43.518311743079906
17AC0003892B_S2,5940781,5262,1829,2252990,305222479,51.3775005340207
17AC0003893_S1,1891928,243,18671,2226237,278468054,147.18744793670794
17AC0003894N_S2,1774211,144,20642,3379602,395336495,222.8238326783004
17AC0006310_S6,5236288,2339,6136,1270772,157342260,30.048435074617746
17AC0006311_S7,1808596,118,41165,1625017,198020671,109.4886149256108
17AC0006312_S8,2473779,310,24539,1440500,177387608,71.70713632866962
17AC0006313ANBLD_S10,2058998,272,24558,1978216,242882796,117.96164736439763
17AC0006313A_S9,2274095,278,21261,1332848,167256214,73.54847268913568
17AC0006314_S11,6088600,2493,4889,890126,118365952,19.440586013205007
17AC0012455-1AN_S5,1805667,436,15264,569846,77678526,43.01929757812487
17AC0012455-1A_S1,2371946,1826,24258,2275970,279363447,117.77816484860953
18AC0002827_S7,4999553,1476,7241,956142,116630840,23.328253545867
18AC0002828_S12,2872009,207,37806,1633599,213848119,74.45941812856437
18AC0007008CHO_S3,4815139,606,16336,2377593,284924450,59.172632399604666
18AC0007009CHO_S5,4388563,873,10212,1651246,211611469,48.218851820060465
18AC0007010CHO_S7,5337224,870,15119,2215327,271680787,50.90301381392274
18AC0012150R_S3,4024985,289,28192,1934372,273676067,67.99430730797755
18AC0012151B1_S7,3261293,508,15328,2841210,400464576,122.79319153476857
18AC0012152_S9,1887508,229,22159,3030748,395877882,209.73573727899432
18AC0012153-C_S8,4818958,616,14992,1085060,163844060,33.99989375296485
18AC0012154M_S13,4809687,393,26149,2709942,349709004,72.70930603176464
18AC0017656_S1,1768110,143,20532,3153125,417744931,236.26636973943928
18AC0017657_S2,1884783,236,19189,2732260,359818007,190.90686142648784
18AC0017658_S3,4362125,927,8642,2053484,257528937,59.03749594521019
18AC0018934_S10,4876794,766,14970,2346760,282590845,57.94602868195786
18AC0018935_S11,5867697,1054,12737,1756732,221042753,37.67112599713312
18AC0018936-1_S12,200285,604,311,62682,6292936,31.41990663304791
18AC0018936-2_S13,2443962,1498,3455,1701936,215278651,88.08592400372837
18AC0018936-ANO2_S16,5305178,1200,13190,1796225,229859435,43.327374689407215
