,# contigs,# contigs,# contigs,Largest contig,Largest contig,Largest contig,Total length,Total length,Total length,N50,N50,N50,N75,N75,N75,L50,L50,L50,L75,L75,L75
,old,new,ratio,old,new,ratio,old,new,ratio,old,new,ratio,old,new,ratio,old,new,ratio,old,new,ratio
Assembly,,,,,,,,,,,,,,,,,,,,,
16AC1611137_CAP,217,98,0.45161290322580644,85376,318610,3.7318450149925035,3394658,3429420,1.0102402068190668,35747,97139,2.717402858981173,18970,49562,2.6126515550869795,32,12,0.375,65,24,0.36923076923076925
16AC1611138_CAP,472,142,0.3008474576271186,90660,228676,2.5223472314140745,4783587,4831759,1.010070267353766,17665,97615,5.525898669685819,9883,56970,5.76444399473844,77,16,0.2077922077922078,167,31,0.18562874251497005
16AC1611139_CAP,381,101,0.2650918635170604,92303,229435,2.4856721883362405,4896598,4912642,1.0032765605834908,21891,99521,4.54620620346261,12507,53513,4.278643959382745,68,18,0.2647058823529412,143,34,0.23776223776223776
16AC1611140BCAP,1188,387,0.32575757575757575,253856,459347,1.8094786020421025,3569444,3050936,0.854737040278542,30935,174825,5.651365766930661,1785,91865,51.46498599439776,25,6,0.24,146,12,0.0821917808219178
16AC1611140_CAP,467,153,0.32762312633832974,44664,158960,3.5590184488626186,2403764,2347676,0.9766665945575356,10893,57116,5.243367300100982,5746,25378,4.416637660981553,65,12,0.18461538461538463,141,28,0.19858156028368795
16AC1611141_CAP,545,352,0.6458715596330276,58879,103210,1.7529169992696887,4166001,4224390,1.0140155991321174,16365,23289,1.4230980751604032,8057,12573,1.5605063919573041,78,56,0.717948717948718,169,116,0.6863905325443787
17AC0001408,95,58,0.6105263157894737,112191,242757,2.163783191165067,1946466,1958387,1.006124432689808,36903,71141,1.9277836490258244,21923,58740,2.6793778223783242,18,8,0.4444444444444444,35,15,0.42857142857142855
17AC0001409,433,133,0.3071593533487298,165085,426947,2.586225277887149,4271279,4299502,1.006607622681637,19306,96191,4.982440692012846,10373,36411,3.510170635303191,64,10,0.15625,140,29,0.20714285714285716
17AC0001410A,438,103,0.23515981735159816,64735,278018,4.2947091990422495,2946579,2982534,1.0122022861087383,12315,93927,7.627040194884287,6681,48481,7.256548420895076,73,11,0.1506849315068493,152,21,0.13815789473684212
17AC0001410,438,117,0.2671232876712329,127973,329378,2.573808537738429,4800497,4843691,1.0089978183508916,19689,150983,7.668393519223932,10465,64648,6.177544194935499,71,12,0.16901408450704225,155,26,0.16774193548387098
17AC0001411B,178,62,0.34831460674157305,114591,239458,2.089675454442321,2738762,2786359,1.0173790201558222,33968,90949,2.6774905793688175,18916,47213,2.495929371960245,27,11,0.4074074074074074,53,21,0.39622641509433965
17AC0001412BR,351,156,0.4444444444444444,34357,112646,3.2786913874901766,2021574,2086429,1.032081437533328,10044,28970,2.8843090402230187,5680,18694,3.2911971830985913,66,21,0.3181818181818182,133,45,0.3383458646616541
17AC0003892A,2004,1514,0.7554890219560878,40105,56705,1.4139134771225532,6238392,6323978,1.0137192404709419,5025,7258,1.4443781094527364,2597,3633,1.398921832884097,347,226,0.6512968299711815,781,533,0.6824583866837388
