genome,assm_total_size,assm_ncontigs,assm_nkmers,assm_kmers_per_kb,assm_frac_singletons,assm_max_kmer_count,raw_nreads,raw_mean_read_len,raw_est_coverage,raw_nkmers
18AC0012151B1_S7_L001_R1_001,3261293,508,7356,2.2555471096893163,0.9945622620989668,4,2841210,140.94860147613164,122.79319153476857,13901
19AC0015931_S8_L001_R1_001,4990629,723,10432,2.0903176733834554,0.9963573619631901,3,2162559,119.44525814093396,51.75848936075994,13448
17AC0003894N_S2_L001_R1_001,1774211,144,2478,1.3966771708663739,0.9955609362389023,3,3379602,116.97723430155385,222.8238326783004,7150
19AC0011209PEA_S8_L001_R1_001,3478657,4652,7001,2.0125582947672047,0.9921439794315098,4,1424390,146.85556132800707,60.132284671929426,15576
18AC0002827_S7_L001_R1_001,4999553,1476,10121,2.0243809796595813,0.9941705365082502,2,956142,121.98066814343476,23.328253545867,12768
18AC0018937_S7_L001_R1_001,2109915,204,5036,2.3868260095785847,0.9972200158856235,4,3425485,123.95803426376119,201.24810098985031,10622
19AC0016711_S11_L001_R1_001,2563002,243,6049,2.3601230119992103,0.9955364523061663,9,1409420,145.617983283904,80.07676076725652,9217
18AC0018936-2_S13_L001_R1_001,2443962,1498,5574,2.280722859029723,0.988697524219591,3,1701936,126.49045028720234,88.08592400372837,9376
18AC0002828_S12_L001_R1_001,2872009,207,5139,1.7893397966371276,0.995524421093598,3,1633599,130.90612751354524,74.45941812856437,9680
17AC0003892A_S1_L001_R1_001,6419023,2553,6970,1.0858350250497621,0.9743185078909613,4,2053910,136.0064676641138,43.518311743079906,10085
17AC0003892B_S2_L001_R1_001,5940781,5262,6692,1.1264512191242195,0.9760908547519426,4,2252990,135.474404680003,51.37750053402068,10654
16AC1611140-CAP_S15_L001_R1_001,2482152,719,6252,2.5187820890904344,0.9928023032629558,2,2009335,132.04782179178684,106.89446496427296,13516
18AC0012154M_S13_L001_R1_001,4809687,393,10405,2.163342437875895,0.9947140797693417,4,2709942,129.04667479968205,72.70930603176464,15154
19AC0011212ANO_S9_L001_R1_001,2460467,619,3974,1.615140540393348,0.994212380473075,3,1451419,132.04078560360585,77.89029684202227,7003
18AC0007009CHO_S5_L001_R1_001,4388563,873,9722,2.21530373381902,0.9951656037852293,5,1651246,128.15260052106106,48.218851820060465,13156
19AC0011212_S8_L001_R1_001,1898929,306,2692,1.4176412072278637,0.9884843982169391,7,2030650,127.69372466944083,136.5513202442008,5852
20AC0000922-BANO2_S7_L001_R1_001,2071406,247,4573,2.2076792285046967,0.9962825278810409,3,2431840,123.48964405552996,144.97739989166777,9985
16AC1611137-CAP_S12_L001_R1_001,3434497,348,7344,2.138304386348277,0.9949618736383442,3,1814188,134.5681555605042,71.08229618485618,11965
18AC0007008CHO_S3_L001_R1_001,4815139,606,10246,2.127872113349168,0.9934608627757173,4,2377593,119.83735231387374,59.172632399604666,13582
17AC0001409_S8_L001_R1_001,4305763,543,9148,2.124594409864175,0.9930039352864014,4,3432370,130.8543813749683,104.31151296529791,18542
19AC0006459_S1_L001_R1_001,6514693,1776,7023,1.0780247050781977,0.97380037021216,4,2746042,135.5449552483174,57.13425636480491,10488
17AC0012455-1AN_S5_L001_R1_001,1805667,436,3960,2.193095404634409,0.9939393939393939,3,569846,136.3149447394559,43.01929757812487,6120
18AC0018937-BAP_S11_L001_R1_001,3779675,1069,7268,1.9229166528868222,0.9954595487066593,3,2667831,130.03999128880352,91.7869181874103,12976
17AC0006313ANBLD_S10_L001_R1_001,2058998,272,3927,1.9072383751708355,0.9961802902979373,2,1978216,122.7787036400474,117.96164736439763,6793
19AC0015930_S7_L001_R1_001,4336068,1159,9619,2.218369269116628,0.9951138371972138,5,1813590,123.17098958419488,51.517106050919864,12697
18AC0018938-1_S14_L001_R1_001,4855576,843,10363,2.13424730660173,0.9944031651066294,4,1684158,130.6026661394002,45.29957413909286,13490
17AC0006312_S8_L001_R1_001,2473779,310,5690,2.300124627139288,0.9949033391915642,3,1440500,123.14308087469628,71.70713632866962,8038
19AC0002349B1_S10_L001_R1_001,653490,775,673,1.029855085770249,0.986627043090639,2,366778,140.92155200148318,79.09367396593674,2433
20AC0000919-C1_S1_L001_R1_001,5582905,752,10838,1.9412832566558091,0.992710832256874,9,1694462,127.74940010457597,38.77309465233601,13821
19AC0006460_S2_L001_R1_001,5329882,673,8263,1.5503157480784753,0.9917705433861793,4,3627993,126.53710853356112,86.13244045552979,14213
20AC0000920-B2_S4_L001_R1_001,2357903,1029,5462,2.316465096316515,0.9937751739289638,3,2628151,121.9504735458503,135.92766920437356,10632
19AC0002349B2_S11_L001_R1_001,5202389,646,9882,1.8995119357664336,0.9931188018619712,3,1494758,132.95113523393084,38.19971420822242,12462
17AC0006313A_S9_L001_R1_001,2274095,278,5179,2.277389467018748,0.9944004634099247,3,1332848,125.4878380730586,73.54847268913568,7927
16AC1611138-CAP_S13_L001_R1_001,4813511,565,10244,2.128176293769766,0.9935572042171027,4,1721470,135.28965128640058,48.38403319323463,14195
