data_set,ds_index,taxid
konstantinidis_2005,0,386585
konstantinidis_2005,1,155864
konstantinidis_2005,2,511145
konstantinidis_2005,3,199310
konstantinidis_2005,4,198215
konstantinidis_2005,5,198214
konstantinidis_2005,6,99287
konstantinidis_2005,7,209261
konstantinidis_2005,8,90370
konstantinidis_2005,9,218493
konstantinidis_2005,10,187410
konstantinidis_2005,11,214092
konstantinidis_2005,12,1234662
konstantinidis_2005,13,630
konstantinidis_2005,14,554
konstantinidis_2005,15,160488
konstantinidis_2005,16,208964
konstantinidis_2005,17,223283
konstantinidis_2005,18,122586
konstantinidis_2005,19,272831
konstantinidis_2005,20,122587
konstantinidis_2005,21,242231
konstantinidis_2005,22,257313
konstantinidis_2005,23,257310
konstantinidis_2005,24,1208660
konstantinidis_2005,25,226900
konstantinidis_2005,26,222523
konstantinidis_2005,27,261594
konstantinidis_2005,28,288681
konstantinidis_2005,29,83331
konstantinidis_2005,30,83332
konstantinidis_2005,31,1765
konstantinidis_2005,32,1764
konstantinidis_2005,33,193567
konstantinidis_2005,34,186103
konstantinidis_2005,35,198466
konstantinidis_2005,36,1207470
konstantinidis_2005,37,208435
konstantinidis_2005,38,211110
konstantinidis_2005,39,171101
konstantinidis_2005,40,170187
konstantinidis_2005,41,1309
konstantinidis_2005,42,158878
konstantinidis_2005,43,158879
konstantinidis_2005,44,196620
konstantinidis_2005,45,282458
konstantinidis_2005,46,282459
konstantinidis_2005,47,1282
konstantinidis_2005,48,176279
konstantinidis_2005,49,190485
konstantinidis_2005,50,1304892
konstantinidis_2005,51,183190
konstantinidis_2005,52,160492
konstantinidis_2005,53,216895
konstantinidis_2005,54,196600
konstantinidis_2005,55,85963
konstantinidis_2005,56,85962
konstantinidis_2005,57,224914
konstantinidis_2005,58,204722
konstantinidis_2005,59,272944
konstantinidis_2005,60,1105094
konstantinidis_2005,61,195102
konstantinidis_2005,62,195103
konstantinidis_2005,63,203267
konstantinidis_2005,64,218496
konstantinidis_2005,65,28450
konstantinidis_2005,66,13373
konstantinidis_2005,67,446
konstantinidis_2005,68,297246
konstantinidis_2005,69,297245
snitkin_2012,0,1087440
snitkin_2012,1,1087441
snitkin_2012,2,1087443
snitkin_2012,3,1087444
snitkin_2012,4,1087445
snitkin_2012,5,1094167
snitkin_2012,6,1094168
snitkin_2012,7,1094169
snitkin_2012,8,1094170
snitkin_2012,9,1094171
snitkin_2012,10,1128946
snitkin_2012,11,1128948
snitkin_2012,12,1128950
snitkin_2012,13,1128951
snitkin_2012,14,1128952
snitkin_2012,15,1128953
snitkin_2012,16,1128954
snitkin_2012,17,1168062
snitkin_2012,18,1168063
snitkin_2012,19,1168064
ondov_2016,1,1115511
ondov_2016,2,1115515
ondov_2016,3,1169321
ondov_2016,4,1169331
ondov_2016,5,1169349
ondov_2016,6,1182659
ondov_2016,7,1182697
ondov_2016,8,1182732
ondov_2016,9,1279005
ondov_2016,10,1440052
ondov_2016,11,1499973
ondov_2016,12,457400
ondov_2016,13,457401
ondov_2016,14,562
ondov_2016,15,502347
ondov_2016,16,550694
ondov_2016,17,564
ondov_2016,18,564
ondov_2016,19,564
ondov_2016,20,754327
ondov_2016,21,754330
ondov_2016,22,754331
ondov_2016,23,754332
ondov_2016,24,754336
ondov_2016,25,909209
ondov_2016,26,910237
ondov_2016,27,910238
ondov_2016,28,981367
ondov_2016,29,216599
ondov_2016,30,300268
ondov_2016,31,300269
ondov_2016,32,373384
ondov_2016,33,591020
ondov_2016,34,1118236
ondov_2016,35,1210043
ondov_2016,36,1210044
ondov_2016,37,1212562
ondov_2016,38,1212563
ondov_2016,39,1212564
ondov_2016,40,1212565
ondov_2016,41,1212566
ondov_2016,42,1212567
ondov_2016,43,1212568
ondov_2016,44,1212569
ondov_2016,45,1212570
ondov_2016,46,1212571
ondov_2016,47,1212573
ondov_2016,48,1212574
ondov_2016,49,1212575
ondov_2016,50,1212576
ondov_2016,51,1212577
ondov_2016,52,1212578
ondov_2016,53,1212579
ondov_2016,54,1212580
ondov_2016,55,1212581
ondov_2016,56,1212582
ondov_2016,57,1212583
ondov_2016,58,1212584
ondov_2016,59,1282357
ondov_2016,60,1282358
ondov_2016,61,1290392
ondov_2016,62,1353978
ondov_2016,63,1353980
ondov_2016,64,1401259
ondov_2016,65,1401327
ondov_2016,66,1434128
ondov_2016,67,1434129
ondov_2016,68,1434130
ondov_2016,69,1434131
ondov_2016,70,1434132
ondov_2016,71,1434133
ondov_2016,72,1434134
ondov_2016,73,1434135
ondov_2016,74,1434136
ondov_2016,75,1434137
ondov_2016,76,1434138
ondov_2016,77,1434139
ondov_2016,78,1434140
ondov_2016,79,1434141
ondov_2016,80,1434142
ondov_2016,81,1434143
ondov_2016,82,1434144
ondov_2016,83,1434145
ondov_2016,84,1434146
ondov_2016,85,1434147
ondov_2016,86,1434148
ondov_2016,87,1434149
ondov_2016,88,1434150
ondov_2016,89,1434151
ondov_2016,90,1434152
ondov_2016,91,1434153
ondov_2016,92,1434154
ondov_2016,93,1434155
ondov_2016,94,1434156
ondov_2016,95,1434157
ondov_2016,96,1434158
ondov_2016,97,1434159
ondov_2016,98,1434160
ondov_2016,99,1434161
ondov_2016,100,1434162
ondov_2016,101,1434163
ondov_2016,102,1434164
ondov_2016,103,1434165
ondov_2016,104,1434166
ondov_2016,105,1434167
ondov_2016,106,1434168
ondov_2016,107,1434169
ondov_2016,108,1434170
ondov_2016,109,1434171
ondov_2016,110,1434172
ondov_2016,111,1434173
ondov_2016,112,1434174
ondov_2016,113,1434175
ondov_2016,114,1434176
ondov_2016,115,1434177
ondov_2016,116,1434178
ondov_2016,117,1434179
ondov_2016,118,1434180
ondov_2016,119,1434181
ondov_2016,120,1434182
ondov_2016,121,1434183
ondov_2016,122,1434184
ondov_2016,123,1434185
ondov_2016,124,1434186
ondov_2016,125,198215
ondov_2016,126,623
ondov_2016,127,623
ondov_2016,128,754077
ondov_2016,129,754091
ondov_2016,130,754092
ondov_2016,131,754093
ondov_2016,132,766138
ondov_2016,133,766139
ondov_2016,134,766140
ondov_2016,135,766141
ondov_2016,136,766142
ondov_2016,137,766143
ondov_2016,138,766145
ondov_2016,139,766146
ondov_2016,140,766147
ondov_2016,141,766148
ondov_2016,142,766149
ondov_2016,143,766150
ondov_2016,144,766152
ondov_2016,145,766153
ondov_2016,146,766155
ondov_2016,147,766158
ondov_2016,148,766159
ondov_2016,149,766160
ondov_2016,150,766161
ondov_2016,151,766162
ondov_2016,152,766163
ondov_2016,153,766164
ondov_2016,154,932676
ondov_2016,155,941429
ondov_2016,156,945360
ondov_2016,157,316401
ondov_2016,158,362663
ondov_2016,159,405955
ondov_2016,160,431946
ondov_2016,161,595495
ondov_2016,162,866768
ondov_2016,163,910348
ondov_2016,164,1005402
ondov_2016,165,1005410
ondov_2016,166,1005418
ondov_2016,167,1005432
ondov_2016,168,1005441
ondov_2016,169,1005487
ondov_2016,170,1005497
ondov_2016,171,1005499
ondov_2016,172,1005501
ondov_2016,173,1005507
ondov_2016,174,1005510
ondov_2016,175,1005514
ondov_2016,176,1005519
ondov_2016,177,1005531
ondov_2016,178,1005550
ondov_2016,179,1005558
ondov_2016,180,1005560
ondov_2016,181,1005561
ondov_2016,182,1005566
ondov_2016,183,1048266
ondov_2016,184,1051349
ondov_2016,185,1051351
ondov_2016,186,1068618
ondov_2016,187,1078031
