data_set,ds_index,alt_loci_count,chromosome_count,contig_count,contig_l50,contig_n50,non_chromosome_replicon_count,replicon_count,scaffold_count,scaffold_count_placed,scaffold_count_unlocalized,scaffold_count_unplaced,scaffold_l50,scaffold_n50,total_length,ungapped_length,assembly-level,assembly-status,representative-status,submitter-organization,taxonomy-check-status
konstantinidis_2005,0,0,1,3,1,5498578,2,3,3,3,0,0,1,5498578,5594605,5594605,90,Complete Genome,reference genome,GIRC,OK
konstantinidis_2005,1,0,1,2,1,5547323,1,2,2,2,0,0,1,5547323,5639399,5639399,90,Complete Genome,na,University of California San Diego,OK
konstantinidis_2005,2,0,1,1,1,4641652,0,1,1,1,0,0,1,4641652,4641652,4641652,90,Complete Genome,reference genome,Univ. Wisconsin,OK
konstantinidis_2005,3,0,1,1,1,5242376,0,1,1,1,0,0,1,5242376,5242376,5242376,90,Complete Genome,na,Genentech,OK
konstantinidis_2005,4,0,1,1,1,4599354,0,1,1,1,0,0,1,4599354,4599354,4599354,90,Complete Genome,na,Univ. Wisconsin,OK
konstantinidis_2005,5,0,1,2,1,4607202,1,2,2,2,0,0,1,4607202,4828820,4828820,90,Complete Genome,reference genome,Microbial Genome Center of ChMPH,OK
konstantinidis_2005,6,0,1,2,1,4857450,1,2,2,2,0,0,1,4857450,4951383,4951383,90,Complete Genome,reference genome,Washington University Genome Sequencing Center,OK
konstantinidis_2005,7,0,1,1,1,4791961,0,1,1,1,0,0,1,4791961,4791961,4791961,90,Complete Genome,na,Univ. Wisconsin,OK
konstantinidis_2005,8,0,1,1,1,4791341,0,1,1,1,0,0,1,4791341,4791341,4791341,90,Complete Genome,na,Protein Potential LLC,OK
konstantinidis_2005,9,0,1,1,1,4460105,0,1,1,1,0,0,1,4460105,4460105,4460105,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,10,0,1,2,1,4600755,1,2,2,2,0,0,1,4600755,4701745,4701745,90,Complete Genome,na,Univ. Wisconsin,OK
konstantinidis_2005,11,0,1,4,1,4653728,3,4,4,4,0,0,1,4653728,4829855,4829855,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,12,0,1,5,1,4596548,4,5,5,5,0,0,1,4596548,4783760,4783760,90,Complete Genome,na,SRCAMB,OK
konstantinidis_2005,13,0,1,2,1,4735535,1,2,2,2,0,0,1,4735535,4837317,4837317,90,Complete Genome,na,Seoul National University,OK
konstantinidis_2005,14,0,1,1,1,4892225,0,1,1,1,0,0,1,4892225,4892225,4892225,90,Complete Genome,representative genome,Cornell University,OK
konstantinidis_2005,15,0,1,1,1,6181873,0,1,1,1,0,0,1,6181873,6181873,6181873,90,Complete Genome,na,TIGR,Inconclusive
konstantinidis_2005,16,0,1,1,1,6264404,0,1,1,1,0,0,1,6264404,6264404,6264404,90,Complete Genome,reference genome,PathoGenesis Corporation,OK
konstantinidis_2005,17,0,1,3,1,6397126,2,3,3,3,0,0,1,6397126,6538260,6538260,90,Complete Genome,representative genome,TIGR,OK
konstantinidis_2005,18,0,1,1,1,2272360,0,1,1,1,0,0,1,2272360,2272360,2272360,90,Complete Genome,na,TIGR,OK
konstantinidis_2005,19,0,1,1,1,2194961,0,1,1,1,0,0,1,2194961,2194961,2194961,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,20,0,1,1,1,2184406,0,1,1,1,0,0,1,2184406,2184406,2184406,90,Complete Genome,na,Sanger Institute,OK
konstantinidis_2005,21,0,1,1,1,2153922,0,1,1,1,0,0,1,2153922,2153922,2153922,90,Complete Genome,na,Univ. Oklahoma,OK
konstantinidis_2005,22,0,1,1,1,4086189,0,1,1,1,0,0,1,4086189,4086189,4086189,90,Complete Genome,na,Sanger Institute,OK
