,GCA_000002545.2,GCA_001051215.1,GCA_001417835.1,GCA_001761485.1,GCA_001854445.1,GCA_001854445.2,GCA_003013715.2,GCA_003033855.1,GCA_003054405.1,GCA_003054445.1,GCA_003086655.1,GCA_003709285.1,GCA_004328465.1,GCA_008275145.1,GCA_009498055.1,GCA_009498075.1,GCA_009498095.1,GCA_009498115.1,GCA_009498135.1,GCA_014217455.1,GCA_014217725.1,GCA_014490615.1,GCA_014673535.1,GCA_016495645.1,GCA_016495665.1,GCA_016495685.1,GCA_016625955.1,GCA_016772135.1,GCA_016772155.1,GCA_016772175.1,GCA_016772195.1,GCA_016772215.1,GCA_016772235.1,GCA_016809505.1,GCA_018219195.1,GCA_019039235.1,GCA_019039275.1,GCA_019039295.1,GCA_019039315.1,GCA_019039335.1,GCA_019039355.1,GCA_019039375.1,GCA_019039395.1,GCA_019039415.1,GCA_019039435.1,GCA_019039455.1,GCA_019039475.1,GCA_019039495.1,GCA_019039515.1,GCA_019039535.1,GCA_019039555.1,GCA_019039575.1,GCA_019039595.1,GCA_019039615.1,GCA_019039635.1,GCA_019039655.1,GCA_019039675.1,GCA_019039695.1,GCA_019039715.1,GCA_019039735.1,GCA_019039755.1,GCA_019039775.1,GCA_019332045.1,GCA_020450195.1,GCA_020450215.1,GCA_020450235.1,GCA_020450265.1,GCA_021172205.1,GCA_022695735.1,GCA_023272835.1,GCA_023508825.1
GCA_000002545.2,0.0000,0.9882,0.9893,0.9932,0.9890,0.9890,0.9927,0.9906,0.9908,0.9908,0.9883,0.9884,0.9882,0.9931,0.9922,0.9922,0.9922,0.9922,0.9922,0.9928,0.1669,0.9931,0.9926,0.9927,0.9927,0.9927,0.9890,0.9926,0.9931,0.9928,0.9927,0.9927,0.9926,0.9925,0.9882,0.9926,0.9927,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.1613,0.1614,0.1613,0.1615,0.9880,0.9882,0.9933,0.9883
GCA_001051215.1,0.9882,0.0000,0.9901,0.9938,0.9902,0.9902,0.9921,0.9903,0.9903,0.9901,0.0320,0.1636,0.0042,0.9922,0.9920,0.9920,0.9920,0.9920,0.9920,0.9922,0.9883,0.9937,0.9920,0.9922,0.9922,0.9921,0.9901,0.9920,0.9922,0.9922,0.9923,0.9923,0.9920,0.9922,0.0786,0.9920,0.9921,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9920,0.9884,0.9884,0.9884,0.9884,0.1069,0.1665,0.9935,0.1579
GCA_001417835.1,0.9893,0.9901,0.0000,0.9938,0.1193,0.1193,0.9921,0.9909,0.9908,0.9907,0.9903,0.9902,0.9901,0.9922,0.9917,0.9917,0.9918,0.9918,0.9917,0.9920,0.9890,0.9937,0.9921,0.9920,0.9920,0.9921,0.1171,0.9921,0.9922,0.9920,0.9920,0.9920,0.9921,0.9923,0.9901,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9893,0.9893,0.9893,0.9893,0.9898,0.9900,0.9937,0.9904
GCA_001761485.1,0.9932,0.9938,0.9938,0.0000,0.9938,0.9938,0.9930,0.9939,0.9939,0.9939,0.9937,0.9937,0.9938,0.9930,0.9936,0.9936,0.9936,0.9936,0.9936,0.9929,0.9931,0.0852,0.9928,0.9930,0.9930,0.9930,0.9939,0.9928,0.9930,0.9929,0.9929,0.9929,0.9928,0.9926,0.9937,0.9928,0.9929,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9932,0.9932,0.9932,0.9932,0.9937,0.9938,0.0434,0.9938
GCA_001854445.1,0.9890,0.9902,0.1193,0.9938,0.0000,0.0000,0.9921,0.9910,0.9910,0.9908,0.9902,0.9901,0.9902,0.9921,0.9918,0.9918,0.9919,0.9919,0.9918,0.9919,0.9888,0.9937,0.9920,0.9920,0.9920,0.9921,0.1197,0.9920,0.9921,0.9919,0.9920,0.9919,0.9920,0.9921,0.9902,0.9921,0.9921,0.9921,0.9921,0.9920,0.9921,0.9921,0.9920,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9920,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9891,0.9891,0.9891,0.9891,0.9899,0.9900,0.9937,0.9903
GCA_001854445.2,0.9890,0.9902,0.1193,0.9938,0.0000,0.0000,0.9921,0.9910,0.9910,0.9908,0.9902,0.9901,0.9902,0.9921,0.9918,0.9918,0.9919,0.9919,0.9918,0.9919,0.9888,0.9937,0.9920,0.9920,0.9920,0.9921,0.1197,0.9920,0.9921,0.9919,0.9920,0.9919,0.9920,0.9921,0.9902,0.9921,0.9921,0.9921,0.9921,0.9920,0.9921,0.9921,0.9920,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9920,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9921,0.9891,0.9891,0.9891,0.9891,0.9899,0.9900,0.9937,0.9903
GCA_003013715.2,0.9927,0.9921,0.9921,0.9930,0.9921,0.9921,0.0000,0.9924,0.9922,0.9922,0.9922,0.9921,0.9921,0.3109,0.9909,0.9909,0.9909,0.9909,0.9909,0.1462,0.9928,0.9930,0.1432,0.0105,0.0102,0.0041,0.9920,0.1428,0.3064,0.1442,0.1414,0.1420,0.1415,0.4249,0.9921,0.1429,0.1429,0.1428,0.1428,0.1429,0.1428,0.1431,0.1424,0.1424,0.1430,0.1430,0.1429,0.1428,0.1427,0.1423,0.1427,0.1427,0.1429,0.1428,0.1428,0.1427,0.1427,0.1430,0.1430,0.1429,0.1427,0.1431,0.1427,0.9926,0.9926,0.9926,0.9926,0.9923,0.9923,0.9931,0.9921
GCA_003033855.1,0.9906,0.9903,0.9909,0.9939,0.9910,0.9910,0.9924,0.0000,0.1257,0.1256,0.9902,0.9901,0.9902,0.9923,0.9915,0.9915,0.9914,0.9915,0.9915,0.9927,0.9907,0.9939,0.9926,0.9924,0.9924,0.9924,0.9910,0.9926,0.9923,0.9927,0.9927,0.9927,0.9926,0.9923,0.9903,0.9926,0.9927,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9927,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9926,0.9927,0.9926,0.9907,0.9907,0.9907,0.9907,0.9902,0.9905,0.9938,0.9899
GCA_003054405.1,0.9908,0.9903,0.9908,0.9939,0.9910,0.9910,0.9922,0.1257,0.0000,0.0746,0.9902,0.9901,0.9902,0.9923,0.9915,0.9915,0.9914,0.9915,0.9914,0.9926,0.9909,0.9938,0.9925,0.9922,0.9922,0.9922,0.9910,0.9925,0.9923,0.9926,0.9926,0.9926,0.9925,0.9924,0.9903,0.9925,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9926,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9908,0.9908,0.9908,0.9908,0.9901,0.9903,0.9938,0.9899
GCA_003054445.1,0.9908,0.9901,0.9907,0.9939,0.9908,0.9908,0.9922,0.1256,0.0746,0.0000,0.9900,0.9899,0.9901,0.9922,0.9914,0.9914,0.9913,0.9914,0.9913,0.9925,0.9909,0.9939,0.9924,0.9922,0.9922,0.9922,0.9908,0.9925,0.9922,0.9926,0.9926,0.9926,0.9924,0.9924,0.9901,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9907,0.9907,0.9907,0.9907,0.9900,0.9902,0.9938,0.9898
