index,col1,col2,col3-bioproject,col4-biosample,col5,col7-organism,col5_is_acc,biosample_uid,assembly_uid,assembly_accession,url,organism
1,NZ,1115511,PRJNA224116,SAMD00019863,GCF_000759775.1,Escherichia_albertii_NBRC_107761,True,3324629,213661,GCF_000759775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/775/GCF_000759775.1_ASM75977v1/GCF_000759775.1_ASM75977v1_genomic.fna.gz,Escherichia albertii NBRC 107761 (enterobacteria)
2,NZ,1115512,PRJNA224116,,NZ_BAFF,Escherichia_hermannii_NBRC_105704,False,,,,,
3,NZ,1115515,PRJNA224116,SAMD00018687,GCF_000759795.1,Escherichia_vulneris_NBRC_102420,True,3324522,213671,GCF_000759795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/795/GCF_000759795.1_ASM75979v1/GCF_000759795.1_ASM75979v1_genomic.fna.gz,Pseudescherichia vulneris NBRC 102420 (enterobacteria)
4,NZ,1169321,PRJNA224116,SAMN00847639,GCF_000407765.1,Escherichia_sp._KTE114,True,847639,702128,GCF_000407765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/765/GCF_000407765.1_Esch_coli_KTE114_V1/GCF_000407765.1_Esch_coli_KTE114_V1_genomic.fna.gz,Escherichia sp. KTE114 (enterobacteria)
5,NZ,1169331,PRJNA224116,SAMN00847649,GCF_000350705.1,Escherichia_sp._KTE11,True,847649,575668,GCF_000350705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/705/GCF_000350705.1_Esch_coli_KTE11_V1/GCF_000350705.1_Esch_coli_KTE11_V1_genomic.fna.gz,Escherichia sp. KTE11 (enterobacteria)
6,NZ,1169349,PRJNA224116,SAMN00847667,GCF_000407925.1,Escherichia_sp._KTE31,True,847667,702268,GCF_000407925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/925/GCF_000407925.1_Esch_coli_KTE31_V1/GCF_000407925.1_Esch_coli_KTE31_V1_genomic.fna.gz,Escherichia sp. KTE31 (enterobacteria)
7,NZ,1182659,PRJNA224116,SAMN00854611,GCF_000408325.1,Escherichia_sp._KTE52,True,854611,710128,GCF_000408325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/325/GCF_000408325.1_Esch_coli_KTE52_V1/GCF_000408325.1_Esch_coli_KTE52_V1_genomic.fna.gz,Escherichia sp. KTE52 (enterobacteria)
8,NZ,1182697,PRJNA224116,SAMN00854649,GCF_000408525.1,Escherichia_sp._KTE96,True,854649,702848,GCF_000408525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/525/GCF_000408525.1_Esch_coli_KTE96_V1/GCF_000408525.1_Esch_coli_KTE96_V1_genomic.fna.gz,Escherichia sp. KTE96 (enterobacteria)
9,NZ,1182732,PRJNA224116,SAMN00854684,GCF_000408805.1,Escherichia_sp._KTE159,True,854684,703128,GCF_000408805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/805/GCF_000408805.1_Esch_coli_KTE159_V1/GCF_000408805.1_Esch_coli_KTE159_V1_genomic.fna.gz,Escherichia sp. KTE159 (enterobacteria)
10,NZ,1279005,PRJNA224116,SAMN01883166,GCF_000408845.1,Escherichia_sp._KTE172,True,1883166,703168,GCF_000408845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/408/845/GCF_000408845.1_Esch_coli_KTE172_V1/GCF_000408845.1_Esch_coli_KTE172_V1_genomic.fna.gz,Escherichia sp. KTE172 (enterobacteria)
11,NZ,1440052,PRJNA224116,SAMN02641387,GCF_000512125.1,Escherichia_albertii_KF1,True,2641387,88561,GCF_000512125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/125/GCF_000512125.1_ASM51212v1/GCF_000512125.1_ASM51212v1_genomic.fna.gz,Escherichia albertii KF1 (enterobacteria)
12,NZ,1499973,PRJNA224116,SAMN02777259,GCF_000807695.1,Escherichia_sp._HT073016,True,2777259,247161,GCF_000807695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/695/GCF_000807695.1_ASM80769v3/GCF_000807695.1_ASM80769v3_genomic.fna.gz,Escherichia marmotae (enterobacteria)
13,NZ,457400,PRJNA224116,SAMN02463703,GCF_000159895.2,Escherichia_sp._1_1_43,True,2463703,438978,GCF_000159895.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/895/GCF_000159895.2_Escherichia_sp_1_1_43_V2/GCF_000159895.2_Escherichia_sp_1_1_43_V2_genomic.fna.gz,Escherichia sp. 1_1_43 (enterobacteria)
